date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bolton 017F,E01004932,722,0,290,238,109,57,15,8,2,3
2021,Bolton 018A,E01004834,583,0,154,151,98,92,42,27,8,11
2021,Bolton 018B,E01004838,652,0,181,159,87,82,61,43,26,13
2021,Bolton 018C,E01004843,624,0,161,209,125,87,29,8,2,3
2021,Bolton 018D,E01004845,717,0,199,212,110,113,52,17,10,4
2021,Bolton 018E,E01004923,635,0,192,171,106,89,35,24,10,8
2021,Bolton 019A,E01004796,670,0,208,203,131,87,31,7,1,2
2021,Bolton 019B,E01004798,665,0,209,187,120,96,42,9,2,0
2021,Bolton 019C,E01004799,583,0,169,255,80,52,20,6,0,1
2021,Bolton 019D,E01004800,531,0,117,216,91,79,18,10,0,0
2021,Bolton 019E,E01004801,664,0,196,189,129,84,40,15,6,5
2021,Bolton 019F,E01004917,959,0,265,341,162,124,46,8,13,0
2021,Bolton 020A,E01004835,557,0,151,187,83,68,33,20,4,11
2021,Bolton 020B,E01004836,603,0,144,207,80,81,45,20,14,12
2021,Bolton 020C,E01004837,595,0,115,237,99,85,40,8,6,5
2021,Bolton 020D,E01004844,615,0,117,255,102,98,25,10,6,2
2021,Bolton 020E,E01004897,456,0,144,174,72,41,16,6,1,2
2021,Bolton 021A,E01004827,671,0,190,149,94,100,72,32,19,15
2021,Bolton 021B,E01004849,500,0,92,110,63,77,76,30,24,28
2021,Bolton 021C,E01004850,773,0,272,172,84,80,56,34,31,44
2021,Bolton 021D,E01004851,628,0,228,135,98,50,46,36,12,23
2021,Bolton 021E,E01004853,494,0,116,99,64,90,59,40,18,8
2021,Bolton 022A,E01004811,651,0,231,150,81,59,56,32,13,29
2021,Bolton 022B,E01004812,681,0,151,149,103,77,83,48,30,40
2021,Bolton 022C,E01004813,523,0,108,146,93,64,44,21,20,27
2021,Bolton 022D,E01004815,563,0,136,136,74,81,56,44,20,16
2021,Bolton 022E,E01004817,969,0,479,268,85,63,37,22,7,8
2021,Bolton 023A,E01004828,631,0,145,135,112,87,57,56,21,18
2021,Bolton 023B,E01004829,485,0,120,109,83,66,55,35,11,6
2021,Bolton 023C,E01004832,641,0,173,196,119,82,40,22,4,5
2021,Bolton 023D,E01004854,468,0,71,83,94,84,72,37,18,9
2021,Bolton 023E,E01004878,546,0,121,133,90,72,75,30,15,10
2021,Bolton 024A,E01004911,719,0,283,210,130,73,16,7,0,0
2021,Bolton 024B,E01004912,650,0,183,284,84,75,16,5,2,1
2021,Bolton 024C,E01004913,783,0,218,221,174,105,44,17,3,1
2021,Bolton 024D,E01004914,518,0,139,214,82,65,11,7,0,0
2021,Bolton 024E,E01004915,526,0,116,229,86,80,4,5,3,3
2021,Bolton 024F,E01004916,678,0,246,215,111,78,22,3,2,1
2021,Bolton 024G,E01004918,512,0,118,205,92,71,19,7,0,0
2021,Bolton 025A,E01004846,490,0,155,99,69,73,43,33,11,7
2021,Bolton 025B,E01004847,651,0,114,134,110,116,79,64,20,14
2021,Bolton 025C,E01004852,487,0,77,96,81,85,76,41,12,19
2021,Bolton 025D,E01004877,669,0,208,127,74,77,86,50,30,17
2021,Bolton 025E,E01004879,533,0,143,113,76,75,54,36,22,14
2021,Bolton 026A,E01004830,728,0,266,191,120,78,40,18,5,10
2021,Bolton 026B,E01004831,645,0,149,180,116,98,63,23,8,8
2021,Bolton 026C,E01004833,643,0,180,225,120,72,30,12,2,2
2021,Bolton 026D,E01004839,960,0,378,216,130,109,72,32,15,8
2021,Bolton 027A,E01004814,566,0,160,157,80,65,36,38,17,13
2021,Bolton 027B,E01004855,624,0,190,215,108,62,27,10,8,4
2021,Bolton 027C,E01004856,637,0,221,169,114,70,36,15,9,3
2021,Bolton 027D,E01004857,667,0,184,191,102,92,38,19,21,20
2021,Bolton 028A,E01004891,738,0,267,270,98,83,16,4,0,0
2021,Bolton 028B,E01004893,639,0,160,243,112,93,25,5,1,0
2021,Bolton 028C,E01004894,850,0,266,293,141,111,28,11,0,0
2021,Bolton 028E,E01004901,773,0,212,295,137,95,29,5,0,0
2021,Bolton 028F,E01033218,631,0,151,206,126,115,28,3,2,0
2021,Bolton 028G,E01033219,599,0,133,247,112,75,26,5,1,0
2021,Bolton 029A,E01004816,595,0,92,96,76,68,80,47,23,113
2021,Bolton 029B,E01004872,612,0,139,175,120,108,43,14,7,6
2021,Bolton 029C,E01004873,621,0,145,117,84,118,75,31,39,12
2021,Bolton 029D,E01004875,653,0,160,219,119,100,34,14,5,2
2021,Bolton 029E,E01004880,501,0,95,146,92,87,39,26,8,8
2021,Bolton 030A,E01004892,709,0,216,276,103,81,21,10,2,0
2021,Bolton 030B,E01004896,546,0,122,243,80,79,17,5,0,0
2021,Bolton 030C,E01004899,619,0,156,204,109,89,38,12,6,5
2021,Bolton 030D,E01004900,625,0,152,185,131,102,34,13,5,3
2021,Bolton 031A,E01004776,826,0,276,280,137,97,30,5,1,0
2021,Bolton 031B,E01004895,602,0,198,209,101,73,16,3,1,1
2021,Bolton 031C,E01004936,1012,0,363,357,151,105,33,3,0,0
2021,Bolton 031D,E01004938,629,0,203,162,115,96,37,11,2,3
2021,Bolton 031E,E01004939,713,0,214,270,116,84,18,9,1,1
2021,Bolton 032A,E01004858,713,0,268,218,116,74,23,10,1,3
2021,Bolton 032B,E01004859,697,0,349,169,78,56,27,13,3,2
2021,Bolton 032C,E01004860,682,0,240,229,121,60,20,9,1,2
2021,Bolton 032D,E01004902,878,0,358,279,114,76,33,14,3,1
2021,Bolton 032E,E01004906,889,0,416,246,129,58,26,10,3,1
2021,Bolton 033A,E01004861,665,0,128,173,126,127,82,16,9,4
2021,Bolton 033B,E01004862,590,0,196,159,103,67,48,8,9,0
2021,Bolton 033C,E01004863,646,0,212,171,114,88,29,17,11,4
2021,Bolton 033D,E01004874,661,0,136,214,139,113,42,11,5,1
