date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Manchester 025,E02001069,4303,0,1223,1036,784,586,328,208,79,59
2021,Manchester 026,E02001070,3141,0,1038,713,375,336,267,211,118,83
2021,Manchester 028,E02001072,3898,0,1636,1021,530,363,170,97,40,41
2021,Manchester 029,E02001073,3985,0,1398,1252,567,462,175,75,27,29
2021,Manchester 030,E02001074,4225,0,1342,1079,607,511,314,193,93,86
2021,Manchester 031,E02001075,3452,0,1143,919,480,398,239,155,68,50
2021,Manchester 032,E02001076,2796,0,665,607,424,391,310,223,109,67
2021,Manchester 033,E02001077,3040,0,956,924,490,408,154,57,30,21
2021,Manchester 034,E02001078,3801,0,987,1056,601,546,308,171,81,51
2021,Manchester 035,E02001079,3443,0,955,936,560,487,255,142,47,61
2021,Manchester 036,E02001080,3425,0,1017,920,453,413,251,182,91,98
2021,Manchester 037,E02001081,2801,0,908,980,423,354,95,23,11,7
2021,Manchester 038,E02001082,2900,0,1030,994,373,280,104,60,27,32
2021,Manchester 039,E02001083,4076,0,1679,1473,425,341,95,29,23,11
2021,Manchester 040,E02001084,3330,0,985,978,562,462,179,76,46,42
2021,Manchester 041,E02001085,3198,0,802,810,628,469,277,129,58,25
2021,Manchester 042,E02001086,2953,0,1038,966,436,306,120,58,16,13
2021,Manchester 043,E02001087,4330,0,1551,1546,546,526,134,17,8,2
2021,Manchester 044,E02001088,3784,0,1190,1105,708,526,162,61,26,6
2021,Manchester 045,E02001089,3202,0,836,1098,515,456,196,74,18,9
2021,Manchester 046,E02001090,3137,0,1134,991,460,384,115,35,11,7
2021,Manchester 047,E02001091,3880,0,1424,1230,665,391,120,32,12,6
2021,Manchester 048,E02001092,3853,0,1345,1033,652,515,211,54,21,22
2021,Manchester 049,E02001093,3920,0,1202,1075,733,549,236,96,21,8
2021,Manchester 050,E02001094,3943,0,1189,1018,777,567,259,86,30,17
2021,Manchester 051,E02001095,3741,0,1194,1060,726,466,182,76,21,16
