date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Manchester 033B,E01005156,1479,50,2,1,11,26,10,13,5,7,1,60,22,10,21,7,1343,1182,71,0,0,90,13,2,11
2021,Manchester 037D,E01005157,1532,50,0,0,17,26,7,10,2,6,2,63,22,12,14,15,1408,1299,47,0,1,61,1,0,1
2021,Manchester 033C,E01005158,1492,138,8,21,16,68,25,83,28,45,10,94,21,5,43,25,1126,984,55,0,3,84,51,28,23
2021,Manchester 029D,E01005159,1606,173,1,10,28,109,25,51,7,36,8,87,27,8,25,27,1276,1124,52,0,2,98,19,5,14
2021,Manchester 004B,E01005160,1977,941,2,6,92,785,56,87,58,24,5,38,10,3,13,12,803,688,32,2,0,81,108,43,65
2021,Manchester 004C,E01005161,1814,588,1,8,63,467,49,71,39,21,11,87,30,18,26,13,903,742,29,0,2,130,165,89,76
2021,Manchester 004D,E01005162,1896,565,7,10,41,436,71,61,38,12,11,37,12,1,11,13,1053,825,27,1,2,198,180,33,147
2021,Manchester 004E,E01005163,1784,821,8,18,73,675,47,55,33,20,2,72,13,3,17,39,687,567,18,0,1,101,149,81,68
2021,Manchester 006A,E01005164,2345,1017,12,12,96,700,197,254,201,32,21,126,31,36,33,26,701,525,24,9,8,135,247,137,110
2021,Manchester 008D,E01005165,2346,758,11,11,78,569,89,289,242,31,16,92,15,20,39,18,1050,710,26,1,3,310,157,56,101
2021,Manchester 008E,E01005166,2142,1310,7,11,79,1084,129,165,144,11,10,57,18,6,14,19,443,316,26,3,9,89,167,65,102
2021,Manchester 008F,E01005167,2315,1412,41,11,122,1072,166,206,154,27,25,92,32,10,22,28,368,233,14,1,2,118,237,110,127
2021,Manchester 045B,E01005168,1408,176,7,26,27,95,21,26,9,12,5,74,30,15,12,17,1101,984,64,0,5,48,31,13,18
2021,Manchester 045C,E01005169,1370,157,5,26,46,67,13,7,3,4,0,57,22,13,7,15,1108,957,68,0,0,83,41,21,20
2021,Manchester 045D,E01005170,1522,360,70,24,53,182,31,27,13,14,0,79,33,7,10,29,969,888,38,0,0,43,87,65,22
2021,Manchester 045E,E01005171,1748,474,57,29,83,270,35,39,17,16,6,87,35,4,13,35,1012,876,61,0,3,72,136,90,46
2021,Manchester 043A,E01005172,1533,112,10,12,31,41,18,29,9,14,6,77,38,6,16,17,1269,1089,62,7,2,109,46,23,23
2021,Manchester 043B,E01005173,1621,188,15,28,87,31,27,17,12,3,2,97,34,11,19,33,1271,1139,40,0,7,85,48,31,17
2021,Manchester 043C,E01005174,1556,111,11,9,47,36,8,19,9,8,2,75,42,6,12,15,1322,1135,66,0,2,119,29,10,19
2021,Manchester 043D,E01005175,1592,160,13,37,43,54,13,46,23,21,2,84,33,7,20,24,1260,1086,62,1,1,110,42,17,25
2021,Manchester 043E,E01005176,1683,94,5,30,29,22,8,31,17,12,2,73,28,8,14,23,1450,1236,64,4,3,143,35,4,31
2021,Manchester 043F,E01005177,1302,88,0,25,20,24,19,12,9,2,1,61,30,9,9,13,1113,952,53,1,3,104,28,17,11
2021,Manchester 030A,E01005178,2008,490,36,29,126,278,21,392,281,67,44,122,13,20,38,51,867,699,50,0,7,111,137,84,53
2021,Manchester 030B,E01005179,2232,801,7,30,49,664,51,171,80,70,21,142,38,25,32,47,942,739,35,2,6,160,176,97,79
2021,Manchester 030C,E01005180,1920,506,42,27,81,283,73,182,105,43,34,180,30,33,74,43,836,725,57,1,0,53,216,133,83
2021,Manchester 030D,E01005181,2228,1020,23,31,132,799,35,152,66,76,10,78,28,13,19,18,733,617,32,0,1,83,245,170,75
2021,Manchester 030E,E01005182,1620,442,22,26,89,262,43,337,222,75,40,108,24,17,50,17,526,438,47,1,0,40,207,164,43
2021,Manchester 030F,E01005183,1786,420,43,11,89,220,57,255,148,53,54,152,16,21,70,45,779,654,59,0,1,65,180,124,56
2021,Manchester 032A,E01005184,2296,523,36,31,113,299,44,123,75,36,12,137,51,22,28,36,1258,1031,61,1,8,157,255,142,113
2021,Manchester 032B,E01005185,3260,296,12,16,138,48,82,132,106,17,9,193,88,21,38,46,2564,2239,73,1,5,246,75,39,36
2021,Manchester 020B,E01005186,2896,574,32,176,26,242,98,730,602,70,58,138,18,61,42,17,1270,1106,36,1,0,127,184,73,111
2021,Manchester 021A,E01005187,2245,299,7,30,68,164,30,541,430,45,66,195,16,50,106,23,1099,892,16,0,6,185,111,41,70
2021,Manchester 021B,E01005188,1917,182,12,9,36,104,21,262,217,22,23,94,23,26,29,16,1272,1137,18,0,0,117,107,37,70
2021,Manchester 017D,E01005189,1687,139,14,12,21,78,14,345,261,29,55,88,20,16,37,15,1035,930,13,0,5,87,80,50,30
2021,Manchester 017E,E01005190,2446,286,25,26,21,188,26,584,468,60,56,104,17,29,37,21,1364,1156,25,5,2,176,108,38,70
2021,Manchester 021C,E01005191,1860,213,14,5,5,147,42,324,242,35,47,143,15,48,44,36,1106,847,33,4,3,219,74,20,54
2021,Manchester 021D,E01005192,1735,310,17,29,41,158,65,183,134,29,20,88,15,22,30,21,1100,963,13,22,2,100,54,24,30
2021,Manchester 021E,E01005193,1768,221,68,18,8,113,14,285,190,52,43,109,7,17,39,46,1103,997,33,1,8,64,50,16,34
2021,Manchester 023A,E01005195,2447,559,74,14,40,408,23,507,374,63,70,158,23,22,66,47,1129,960,35,6,12,116,94,28,66
2021,Manchester 023C,E01005197,1727,309,39,10,31,206,23,269,217,37,15,62,22,3,22,15,994,863,37,2,3,89,93,42,51
2021,Manchester 023D,E01005198,2045,750,169,13,16,511,41,405,286,57,62,121,18,37,48,18,686,591,42,1,2,50,83,32,51
2021,Manchester 064C,E01005199,2514,1357,108,10,13,1194,32,200,150,37,13,82,33,12,20,17,794,676,49,0,0,69,81,40,41
2021,Manchester 064A,E01005200,2458,882,110,12,52,655,53,252,134,78,40,152,28,21,51,52,1009,853,68,3,0,85,163,94,69
2021,Manchester 023E,E01005201,2128,593,49,15,12,487,30,551,390,78,83,129,24,30,59,16,766,563,19,6,1,177,89,23,66
2021,Manchester 009A,E01005202,2382,217,6,15,17,148,31,680,602,25,53,124,17,49,40,18,1234,1024,27,3,0,180,127,62,65
