"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
"2021","England and Wales","K04000001",136469,74730,61739
"2021","England","E92000001",132411,72532,59879
"2021","Wales","W92000004",4058,2198,1860
