date,geography,geography code,Number of households: Number of households; measures: Value
2021,Bolton 035E,E01004940,606
2021,Bury 001A,E01005014,759
2021,Bury 001B,E01005015,687
2021,Bury 001C,E01005016,712
2021,Bury 001D,E01005017,774
2021,Bury 001E,E01005018,722
2021,Bury 001F,E01005021,419
2021,Bury 002A,E01005019,625
2021,Bury 002B,E01005023,546
2021,Bury 002C,E01005046,677
2021,Bury 002D,E01005048,660
2021,Bury 003A,E01005020,504
2021,Bury 003B,E01005022,635
2021,Bury 003C,E01005047,590
2021,Bury 003D,E01005049,752
2021,Bury 003E,E01005051,695
2021,Bury 004A,E01004976,640
2021,Bury 004B,E01004977,792
2021,Bury 004C,E01004978,658
2021,Bury 004D,E01004981,622
2021,Bury 004E,E01004982,655
2021,Bury 005A,E01004961,631
2021,Bury 005B,E01004965,506
2021,Bury 005C,E01004966,722
2021,Bury 005D,E01004967,463
2021,Bury 006A,E01004963,694
2021,Bury 006B,E01004968,614
2021,Bury 006C,E01005050,852
2021,Bury 006D,E01005052,585
2021,Bury 006E,E01005053,633
2021,Bury 007A,E01004954,646
2021,Bury 007B,E01004955,552
2021,Bury 007C,E01004956,782
2021,Bury 007D,E01004957,793
2021,Bury 007E,E01004960,652
2021,Bury 008A,E01004958,687
2021,Bury 008B,E01004959,732
2021,Bury 008C,E01004979,672
2021,Bury 008D,E01004980,644
2021,Bury 008E,E01005024,998
2021,Bury 008F,E01005026,647
2021,Bury 009A,E01004947,660
2021,Bury 009B,E01004948,840
2021,Bury 009C,E01004962,837
2021,Bury 009D,E01004964,840
2021,Bury 010A,E01004949,581
2021,Bury 010B,E01004950,617
2021,Bury 010C,E01004951,649
2021,Bury 010D,E01004952,615
2021,Bury 010E,E01004953,635
2021,Bury 011A,E01005025,717
2021,Bury 011B,E01005027,688
2021,Bury 011C,E01005028,834
2021,Bury 011D,E01005029,637
2021,Bury 012A,E01005000,588
2021,Bury 012B,E01005001,495
2021,Bury 012C,E01005005,622
2021,Bury 012D,E01005006,807
2021,Bury 013A,E01005030,788
2021,Bury 013B,E01005054,705
2021,Bury 013C,E01005059,723
2021,Bury 013D,E01005060,735
2021,Bury 014A,E01004997,618
2021,Bury 014B,E01004998,738
2021,Bury 014C,E01004999,597
2021,Bury 014D,E01005002,644
2021,Bury 014E,E01005003,681
2021,Bury 015A,E01004991,595
2021,Bury 015B,E01004992,634
2021,Bury 015C,E01004993,776
2021,Bury 015D,E01004994,676
2021,Bury 016A,E01004990,666
2021,Bury 016B,E01004996,755
2021,Bury 016C,E01005004,855
2021,Bury 016D,E01005008,951
2021,Bury 016E,E01005009,862
2021,Bury 017A,E01004945,651
2021,Bury 017B,E01005055,583
2021,Bury 017C,E01005056,596
2021,Bury 017D,E01005057,669
2021,Bury 017E,E01005058,494
2021,Bury 018A,E01004995,649
2021,Bury 018B,E01005010,653
2021,Bury 018C,E01005012,774
2021,Bury 018D,E01005013,1016
2021,Bury 019A,E01004984,572
2021,Bury 019B,E01004985,594
2021,Bury 019C,E01004989,571
2021,Bury 019D,E01005007,700
2021,Bury 019E,E01005011,598
2021,Bury 020A,E01004983,568
2021,Bury 020B,E01004986,821
2021,Bury 020C,E01004987,660
2021,Bury 020D,E01004988,626
2021,Bury 021A,E01004941,756
2021,Bury 021B,E01004942,640
