date,geography,geography code,Number of households: Number of households; measures: Value
2021,Rochdale 002,E02001133,2736
2021,Rochdale 003,E02001134,2653
2021,Rochdale 004,E02001135,3198
2021,Rochdale 005,E02001136,3738
2021,Rochdale 006,E02001137,2612
2021,Rochdale 007,E02001138,3645
2021,Rochdale 008,E02001139,3247
2021,Rochdale 009,E02001140,3048
2021,Rochdale 010,E02001141,4583
2021,Rochdale 011,E02001142,2429
2021,Rochdale 012,E02001143,4047
2021,Rochdale 013,E02001144,2860
2021,Rochdale 014,E02001145,3078
2021,Rochdale 015,E02001146,3084
2021,Rochdale 016,E02001147,4139
2021,Rochdale 017,E02001148,4384
2021,Rochdale 018,E02001149,4815
2021,Rochdale 019,E02001150,3695
2021,Rochdale 020,E02001151,4187
2021,Rochdale 021,E02001152,4130
2021,Rochdale 022,E02001153,4935
2021,Rochdale 023,E02001154,4383
2021,Rochdale 024,E02001155,3447
2021,Rochdale 025,E02001156,4096
2021,Salford 001,E02001157,3466
2021,Salford 002,E02001158,2724
2021,Salford 003,E02001159,3258
2021,Salford 004,E02001160,2864
2021,Salford 005,E02001161,2664
2021,Salford 006,E02001162,2687
2021,Salford 007,E02001163,4423
2021,Salford 008,E02001164,2842
2021,Salford 009,E02001165,2662
2021,Salford 010,E02001166,2383
2021,Salford 011,E02001167,2809
2021,Salford 012,E02001168,4220
2021,Salford 013,E02001169,4453
2021,Salford 014,E02001170,4144
2021,Salford 015,E02001171,2554
2021,Salford 017,E02001173,3571
2021,Salford 018,E02001174,2339
2021,Salford 019,E02001175,3076
2021,Salford 020,E02001176,5473
2021,Salford 021,E02001177,5817
2021,Salford 023,E02001179,3172
2021,Salford 024,E02001180,2542
2021,Salford 025,E02001181,2633
2021,Salford 026,E02001182,3327
2021,Salford 027,E02001183,3187
2021,Salford 029,E02001185,4088
2021,Salford 030,E02001186,4478
2021,Salford 031,E02006957,2673
2021,Salford 032,E02006958,3071
2021,Salford 033,E02006959,4635
2021,Salford 034,E02006960,3795
2021,Salford 035,E02006961,3151
2021,Salford 036,E02006962,2475
2021,Salford 037,E02006963,3459
2021,Stockport 001,E02001187,3081
2021,Stockport 002,E02001188,3829
2021,Stockport 003,E02001189,3594
2021,Stockport 004,E02001190,3485
2021,Stockport 005,E02001191,2631
2021,Stockport 006,E02001192,2857
2021,Stockport 007,E02001193,3014
2021,Stockport 008,E02001194,2655
2021,Stockport 009,E02001195,3266
2021,Stockport 010,E02001196,3422
2021,Stockport 011,E02001197,2623
2021,Stockport 012,E02001198,3348
2021,Stockport 013,E02001199,3402
2021,Stockport 014,E02001200,4086
2021,Stockport 015,E02001201,2461
2021,Stockport 016,E02001202,3182
2021,Stockport 017,E02001203,2456
2021,Stockport 018,E02001204,3784
2021,Stockport 019,E02001205,3971
2021,Stockport 020,E02001206,3100
2021,Stockport 021,E02001207,2939
2021,Stockport 022,E02001208,3445
2021,Stockport 023,E02001209,3441
2021,Stockport 024,E02001210,3043
2021,Stockport 025,E02001211,2605
2021,Stockport 026,E02001212,2682
2021,Stockport 027,E02001213,4277
2021,Stockport 028,E02001214,3172
2021,Stockport 029,E02001215,2627
2021,Stockport 030,E02001216,3325
2021,Stockport 031,E02001217,3136
2021,Stockport 032,E02001218,2359
2021,Stockport 033,E02001219,2221
2021,Stockport 034,E02001220,2319
2021,Stockport 035,E02001221,2386
2021,Stockport 036,E02001222,2417
2021,Stockport 037,E02001223,2796
2021,Stockport 038,E02001224,2548
2021,Stockport 039,E02001225,3028
2021,Stockport 040,E02001226,2788
2021,Stockport 041,E02001227,2333
2021,Stockport 042,E02001228,2519
2021,Tameside 001,E02001229,4669
2021,Tameside 002,E02001230,2346
2021,Tameside 003,E02001231,2862
2021,Tameside 004,E02001232,3612
2021,Tameside 005,E02001233,3375
2021,Tameside 006,E02001234,3261
2021,Tameside 007,E02001235,3057
2021,Tameside 008,E02001236,2623
2021,Tameside 009,E02001237,3089
2021,Tameside 010,E02001238,3539
2021,Tameside 011,E02001239,3987
2021,Tameside 012,E02001240,2629
2021,Tameside 013,E02001241,4715
2021,Tameside 014,E02001242,2888
2021,Tameside 015,E02001243,3828
2021,Tameside 016,E02001244,2304
2021,Tameside 017,E02001245,3623
2021,Tameside 018,E02001246,3182
2021,Tameside 019,E02001247,3276
2021,Tameside 020,E02001248,5215
2021,Tameside 021,E02001249,2921
2021,Tameside 022,E02001250,2737
2021,Tameside 023,E02001251,2833
2021,Tameside 024,E02001252,3278
2021,Tameside 025,E02001253,2259
2021,Tameside 026,E02001254,2491
2021,Tameside 027,E02001255,3232
2021,Tameside 028,E02001256,4173
2021,Tameside 029,E02001257,4284
2021,Tameside 030,E02001258,3232
2021,Trafford 001,E02001259,4763
2021,Trafford 002,E02001260,3075
2021,Trafford 003,E02001261,3665
2021,Trafford 004,E02001262,3083
2021,Trafford 005,E02001263,3410
2021,Trafford 006,E02001264,3300
2021,Trafford 007,E02001265,3387
2021,Trafford 008,E02001266,3091
2021,Trafford 009,E02001267,3389
2021,Trafford 010,E02001268,2957
2021,Trafford 011,E02001269,3576
2021,Trafford 012,E02001270,3653
2021,Trafford 013,E02001271,2787
2021,Trafford 014,E02001272,3368
2021,Trafford 015,E02001273,4349
2021,Trafford 016,E02001274,3146
2021,Trafford 017,E02001275,3346
2021,Trafford 018,E02001276,3247
2021,Trafford 019,E02001277,3802
2021,Trafford 020,E02001278,3361
2021,Trafford 021,E02001279,3166
2021,Trafford 022,E02001280,3513
2021,Trafford 023,E02001281,3075
2021,Trafford 024,E02001282,4225
2021,Trafford 025,E02001283,4092
2021,Trafford 026,E02001284,3124
2021,Trafford 027,E02001285,3259
2021,Trafford 028,E02001286,3059
2021,Wigan 001,E02001287,2800
2021,Wigan 002,E02001288,3618
2021,Wigan 003,E02001289,4448
2021,Wigan 004,E02001290,2689
2021,Wigan 005,E02001291,3330
2021,Wigan 006,E02001292,3685
2021,Wigan 007,E02001293,2674
2021,Wigan 008,E02001294,3681
2021,Wigan 009,E02001295,3543
2021,Wigan 010,E02001296,3602
2021,Wigan 011,E02001297,2926
2021,Wigan 012,E02001298,3363
2021,Wigan 013,E02001299,3876
2021,Wigan 014,E02001300,3506
2021,Wigan 015,E02001301,4078
2021,Wigan 016,E02001302,3360
2021,Wigan 017,E02001303,3871
2021,Wigan 018,E02001304,5610
2021,Wigan 019,E02001305,3641
2021,Wigan 020,E02001306,3028
2021,Wigan 021,E02001307,4615
2021,Wigan 022,E02001308,2721
2021,Wigan 023,E02001309,3827
2021,Wigan 024,E02001310,3914
2021,Wigan 025,E02001311,3722
2021,Wigan 026,E02001312,3427
2021,Wigan 027,E02001313,3512
2021,Wigan 028,E02001314,3224
2021,Wigan 029,E02001315,4008
2021,Wigan 030,E02001316,3494
2021,Wigan 031,E02001317,3905
2021,Wigan 032,E02001318,3399
2021,Wigan 033,E02001319,3666
2021,Wigan 034,E02001320,3399
2021,Wigan 035,E02001321,3340
2021,Wigan 036,E02001322,3185
2021,Wigan 037,E02001323,3434
2021,Wigan 038,E02001324,3602
2021,Wigan 039,E02001325,3839
2021,Wigan 040,E02001326,3543
2021,Birmingham 001,E02001827,2634
2021,Birmingham 002,E02001828,3130
2021,Birmingham 003,E02001829,3571
2021,Birmingham 004,E02001830,3988
2021,Birmingham 005,E02001831,4493
2021,Birmingham 006,E02001832,3432
2021,Birmingham 007,E02001833,2291
2021,Birmingham 008,E02001834,2408
2021,Birmingham 009,E02001835,3655
2021,Birmingham 010,E02001836,3703
2021,Birmingham 011,E02001837,4037
2021,Birmingham 012,E02001838,3170
2021,Birmingham 013,E02001839,2822
2021,Birmingham 014,E02001840,3807
2021,Birmingham 015,E02001841,2377
2021,Birmingham 016,E02001842,3179
2021,Birmingham 017,E02001843,2839
2021,Birmingham 018,E02001844,4433
2021,Birmingham 019,E02001845,2724
2021,Birmingham 020,E02001846,3293
2021,Birmingham 021,E02001847,2354
2021,Birmingham 022,E02001848,2596
2021,Birmingham 023,E02001849,3722
2021,Birmingham 024,E02001850,3032
2021,Birmingham 025,E02001851,3851
2021,Birmingham 026,E02001852,2853
2021,Birmingham 029,E02001855,4211
2021,Birmingham 030,E02001856,3610
2021,Birmingham 031,E02001857,5575
2021,Birmingham 032,E02001858,3231
2021,Birmingham 033,E02001859,2933
2021,Birmingham 034,E02001860,2736
2021,Birmingham 035,E02001861,3482
2021,Birmingham 036,E02001862,3234
2021,Birmingham 037,E02001863,2444
2021,Birmingham 039,E02001865,3375
2021,Birmingham 040,E02001866,2809
2021,Birmingham 041,E02001867,2589
2021,Birmingham 042,E02001868,2629
2021,Birmingham 043,E02001869,2487
2021,Birmingham 044,E02001870,3596
2021,Birmingham 045,E02001871,3559
2021,Birmingham 046,E02001872,3083
2021,Birmingham 047,E02001873,3981
2021,Birmingham 048,E02001874,2683
2021,Birmingham 049,E02001875,3291
2021,Birmingham 050,E02001876,3667
2021,Birmingham 051,E02001877,3154
2021,Birmingham 052,E02001878,2709
2021,Birmingham 053,E02001879,3050
2021,Birmingham 054,E02001880,3432
2021,Birmingham 055,E02001881,2893
2021,Birmingham 056,E02001882,3162
2021,Birmingham 057,E02001883,3626
2021,Birmingham 058,E02001884,2482
2021,Birmingham 060,E02001886,3470
2021,Birmingham 062,E02001888,2548
2021,Birmingham 063,E02001889,2242
2021,Birmingham 064,E02001890,4406
2021,Birmingham 066,E02001892,3468
2021,Birmingham 067,E02001893,3159
2021,Birmingham 069,E02001895,3536
2021,Birmingham 070,E02001896,2572
2021,Birmingham 071,E02001897,2887
2021,Birmingham 072,E02001898,2633
2021,Birmingham 073,E02001899,3548
2021,Birmingham 074,E02001900,2739
2021,Birmingham 075,E02001901,3750
2021,Birmingham 076,E02001902,2462
2021,Birmingham 077,E02001903,2119
2021,Birmingham 078,E02001904,2623
2021,Birmingham 079,E02001905,2649
2021,Birmingham 080,E02001906,3878
2021,Birmingham 081,E02001907,4395
2021,Birmingham 082,E02001908,2211
2021,Birmingham 083,E02001909,2369
2021,Birmingham 084,E02001910,2343
2021,Birmingham 085,E02001911,3533
2021,Birmingham 087,E02001913,3175
2021,Birmingham 088,E02001914,2313
2021,Birmingham 089,E02001915,4919
2021,Birmingham 090,E02001916,3378
2021,Birmingham 092,E02001918,3975
2021,Birmingham 093,E02001919,2620
2021,Birmingham 094,E02001920,3235
2021,Birmingham 095,E02001921,3179
2021,Birmingham 096,E02001922,3502
2021,Birmingham 097,E02001923,3366
2021,Birmingham 098,E02001924,2502
2021,Birmingham 099,E02001925,2840
2021,Birmingham 100,E02001926,3092
2021,Birmingham 101,E02001927,3011
2021,Birmingham 102,E02001928,3001
2021,Birmingham 103,E02001929,3732
2021,Birmingham 104,E02001930,3210
2021,Birmingham 105,E02001931,3168
2021,Birmingham 106,E02001932,3073
2021,Birmingham 107,E02001933,3154
2021,Birmingham 108,E02001934,2291
2021,Birmingham 109,E02001935,3279
2021,Birmingham 110,E02001936,2553
2021,Birmingham 111,E02001937,3261
2021,Birmingham 112,E02001938,3513
2021,Birmingham 113,E02001939,3102
2021,Birmingham 115,E02001941,2522
2021,Birmingham 116,E02001942,3009
2021,Birmingham 117,E02001943,2639
2021,Birmingham 118,E02001944,3411
2021,Birmingham 119,E02001945,3053
2021,Birmingham 120,E02001946,3208
2021,Birmingham 121,E02001947,2661
2021,Birmingham 122,E02001948,3052
2021,Birmingham 123,E02001949,2652
2021,Birmingham 124,E02001950,3707
2021,Birmingham 125,E02001951,3914
2021,Birmingham 126,E02001952,4102
2021,Birmingham 127,E02001953,2922
2021,Birmingham 128,E02001954,3259
2021,Birmingham 129,E02001955,3536
2021,Birmingham 130,E02001956,2850
2021,Birmingham 131,E02001957,3347
2021,Birmingham 132,E02006807,3029
2021,Birmingham 133,E02006809,3142
2021,Birmingham 134,E02006895,4161
2021,Birmingham 135,E02006896,3158
2021,Birmingham 136,E02006897,4161
2021,Birmingham 137,E02006898,4248
2021,Birmingham 138,E02006899,4066
2021,Birmingham 139,E02006900,4055
2021,Birmingham 141,E02007038,5264
2021,Birmingham 142,E02007039,2171
2021,Birmingham 143,E02007040,2077
2021,Coventry 001,E02001958,3399
2021,Coventry 002,E02001959,2581
2021,Coventry 004,E02001961,3267
2021,Coventry 005,E02001962,2498
2021,Coventry 006,E02001963,2536
2021,Coventry 007,E02001964,4132
2021,Coventry 008,E02001965,3387
2021,Coventry 009,E02001966,2245
2021,Coventry 010,E02001967,2868
2021,Coventry 011,E02001968,2894
2021,Coventry 012,E02001969,2683
2021,Coventry 013,E02001970,2537
2021,Coventry 014,E02001971,2484
2021,Coventry 015,E02001972,4063
2021,Coventry 016,E02001973,3489
2021,Coventry 017,E02001974,3944
2021,Coventry 018,E02001975,2905
2021,Coventry 019,E02001976,3132
2021,Coventry 020,E02001977,4189
2021,Coventry 021,E02001978,2584
2021,Coventry 022,E02001979,2415
2021,Coventry 023,E02001980,2567
2021,Coventry 024,E02001981,4359
2021,Coventry 025,E02001982,3583
2021,Coventry 026,E02001983,3247
2021,Coventry 027,E02001984,3954
2021,Coventry 028,E02001985,3089
2021,Coventry 029,E02001986,3656
2021,Coventry 030,E02001987,2779
2021,Coventry 031,E02001988,3438
2021,Coventry 032,E02001989,2532
2021,Coventry 033,E02001990,3709
2021,Coventry 034,E02001991,3623
2021,Coventry 035,E02001992,4179
2021,Coventry 036,E02001993,3315
2021,Coventry 037,E02001994,3252
2021,Coventry 038,E02001995,4001
2021,Coventry 039,E02001996,3329
2021,Coventry 040,E02001997,3409
2021,Coventry 041,E02001998,2371
2021,Coventry 042,E02001999,2190
2021,Coventry 043,E02006805,3325
2021,Dudley 001,E02002000,3631
2021,Dudley 002,E02002001,2590
2021,Dudley 003,E02002002,3026
2021,Dudley 004,E02002003,3819
2021,Dudley 005,E02002004,3121
2021,Dudley 006,E02002005,3622
2021,Dudley 007,E02002006,2895
2021,Dudley 008,E02002007,3969
2021,Dudley 009,E02002008,3197
2021,Dudley 010,E02002009,2636
2021,Dudley 011,E02002010,3623
2021,Dudley 012,E02002011,2603
2021,Dudley 013,E02002012,3616
2021,Dudley 014,E02002013,2817
2021,Dudley 015,E02002014,3169
2021,Dudley 016,E02002015,2948
2021,Dudley 017,E02002016,3318
2021,Dudley 018,E02002017,3420
2021,Dudley 019,E02002018,3706
2021,Dudley 020,E02002019,3090
2021,Dudley 021,E02002020,4226
2021,Dudley 022,E02002021,3736
2021,Dudley 023,E02002022,3722
2021,Dudley 024,E02002023,2331
2021,Dudley 025,E02002024,3647
2021,Dudley 026,E02002025,3672
2021,Dudley 027,E02002026,2865
2021,Dudley 028,E02002027,2247
2021,Dudley 029,E02002028,2623
2021,Dudley 030,E02002029,2592
2021,Dudley 031,E02002030,3025
2021,Dudley 032,E02002031,2563
2021,Dudley 033,E02002032,4269
2021,Dudley 034,E02002033,3302
2021,Dudley 035,E02002034,3900
2021,Dudley 036,E02002035,2511
2021,Dudley 037,E02002036,2879
2021,Dudley 038,E02002037,2541
2021,Dudley 039,E02002038,4415
2021,Dudley 040,E02002039,2655
2021,Dudley 041,E02002040,2556
2021,Dudley 042,E02002041,2634
2021,Dudley 043,E02002042,3340
2021,Sandwell 001,E02002043,3223
2021,Sandwell 002,E02002044,2942
2021,Sandwell 003,E02002045,3185
2021,Sandwell 004,E02002046,2050
2021,Sandwell 005,E02002047,3091
2021,Sandwell 006,E02002048,2720
2021,Sandwell 007,E02002049,2506
2021,Sandwell 009,E02002051,2241
2021,Sandwell 010,E02002052,4235
2021,Sandwell 011,E02002053,2541
2021,Sandwell 012,E02002054,2314
2021,Sandwell 013,E02002055,4179
2021,Sandwell 014,E02002056,3857
2021,Sandwell 015,E02002057,4276
2021,Sandwell 016,E02002058,4976
2021,Sandwell 017,E02002059,4571
2021,Sandwell 018,E02002060,2630
2021,Sandwell 019,E02002061,2424
2021,Sandwell 020,E02002062,3493
2021,Sandwell 021,E02002063,3939
2021,Sandwell 022,E02002064,4817
2021,Sandwell 023,E02002065,4144
2021,Sandwell 024,E02002066,2922
2021,Sandwell 025,E02002067,2504
2021,Sandwell 027,E02002069,3167
2021,Sandwell 028,E02002070,3595
2021,Sandwell 029,E02002071,2734
2021,Sandwell 030,E02002072,3608
2021,Sandwell 031,E02002073,2934
2021,Sandwell 032,E02002074,3164
2021,Sandwell 033,E02002075,3684
2021,Sandwell 034,E02002076,4536
2021,Sandwell 035,E02002077,4514
2021,Sandwell 036,E02002078,2592
2021,Sandwell 037,E02002079,3534
2021,Sandwell 038,E02002080,3088
2021,Sandwell 039,E02006810,4315
2021,Sandwell 040,E02006943,2648
2021,Sandwell 041,E02006944,2356
2021,Solihull 001,E02002081,2364
2021,Solihull 002,E02002082,2317
2021,Solihull 003,E02002083,2415
2021,Solihull 004,E02002084,2757
2021,Solihull 005,E02002085,2654
2021,Solihull 006,E02002086,2650
2021,Solihull 007,E02002087,2683
2021,Solihull 008,E02002088,4140
2021,Solihull 009,E02002089,3252
2021,Solihull 010,E02002090,2322
2021,Solihull 011,E02002091,3127
2021,Solihull 012,E02002092,3039
2021,Solihull 013,E02002093,2946
2021,Solihull 014,E02002094,2396
2021,Solihull 015,E02002095,3631
2021,Solihull 016,E02002096,4274
2021,Solihull 017,E02002097,3119
2021,Solihull 018,E02002098,3903
2021,Solihull 019,E02002099,2807
2021,Solihull 021,E02002101,2862
2021,Solihull 022,E02002102,3528
2021,Solihull 023,E02002103,2541
2021,Solihull 024,E02002104,2377
2021,Solihull 025,E02002105,3343
2021,Solihull 026,E02002106,4084
2021,Solihull 027,E02002107,2252
2021,Solihull 028,E02002108,3980
2021,Solihull 029,E02002109,5049
2021,Solihull 030,E02006808,2672
2021,Walsall 001,E02002110,2830
2021,Walsall 002,E02002111,2763
2021,Walsall 003,E02002112,2210
2021,Walsall 004,E02002113,2693
2021,Walsall 005,E02002114,2681
2021,Walsall 006,E02002115,2839
2021,Walsall 007,E02002116,2910
2021,Walsall 008,E02002117,2780
2021,Walsall 009,E02002118,3029
2021,Walsall 010,E02002119,2442
2021,Walsall 011,E02002120,2356
2021,Walsall 012,E02002121,2561
2021,Walsall 013,E02002122,2494
2021,Walsall 014,E02002123,2693
2021,Walsall 015,E02002124,3190
2021,Walsall 016,E02002125,2745
2021,Walsall 017,E02002126,2733
2021,Walsall 018,E02002127,3440
2021,Walsall 019,E02002128,2424
2021,Walsall 020,E02002129,2568
2021,Walsall 021,E02002130,2584
2021,Walsall 022,E02002131,3182
2021,Walsall 023,E02002132,2577
2021,Walsall 024,E02002133,3058
2021,Walsall 025,E02002134,3619
2021,Walsall 026,E02002135,2924
2021,Walsall 027,E02002136,3261
2021,Walsall 028,E02002137,2566
2021,Walsall 029,E02002138,2259
2021,Walsall 030,E02002139,4311
2021,Walsall 031,E02002140,2959
2021,Walsall 032,E02002141,2601
2021,Walsall 033,E02002142,2719
2021,Walsall 034,E02002143,3129
2021,Walsall 035,E02002144,2473
2021,Walsall 036,E02002145,3268
2021,Walsall 037,E02002146,2178
2021,Walsall 038,E02002147,3480
2021,Walsall 039,E02002148,4695
2021,Wolverhampton 001,E02002149,4269
2021,Wolverhampton 002,E02002150,2260
2021,Wolverhampton 003,E02002151,2458
2021,Wolverhampton 004,E02002152,2304
2021,Wolverhampton 005,E02002153,3350
2021,Wolverhampton 006,E02002154,2939
2021,Wolverhampton 007,E02002155,2348
2021,Wolverhampton 008,E02002156,3332
2021,Wolverhampton 009,E02002157,3182
2021,Wolverhampton 010,E02002158,3281
2021,Wolverhampton 011,E02002159,2232
2021,Wolverhampton 012,E02002160,2933
2021,Wolverhampton 013,E02002161,2553
2021,Wolverhampton 014,E02002162,3365
2021,Wolverhampton 015,E02002163,5016
2021,Wolverhampton 016,E02002164,2360
2021,Wolverhampton 017,E02002165,3655
2021,Wolverhampton 018,E02002166,3808
2021,Wolverhampton 019,E02002167,2961
2021,Wolverhampton 020,E02002168,4637
2021,Wolverhampton 021,E02002169,3561
2021,Wolverhampton 022,E02002170,2412
2021,Wolverhampton 023,E02002171,3103
2021,Wolverhampton 026,E02002174,3012
2021,Wolverhampton 027,E02002175,3068
2021,Wolverhampton 028,E02002176,3311
2021,Wolverhampton 029,E02002177,4534
2021,Wolverhampton 030,E02002178,2743
2021,Wolverhampton 031,E02002179,2607
2021,Wolverhampton 032,E02002180,2595
2021,Wolverhampton 033,E02002181,3368
2021,Wolverhampton 034,E02002182,2480
2021,Wolverhampton 035,E02006894,5104
