date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Oldham 013,E02001110,6477,3310,3167
2021,Oldham 014,E02001111,9135,4379,4756
2021,Oldham 015,E02001112,5994,3003,2991
2021,Oldham 016,E02001113,9434,4690,4744
2021,Oldham 017,E02001114,8848,4571,4277
2021,Oldham 018,E02001115,5990,3118,2872
2021,Oldham 019,E02001116,7912,4085,3827
2021,Oldham 020,E02001117,6000,3112,2888
2021,Oldham 021,E02001118,6064,3114,2950
2021,Oldham 022,E02001119,12317,6124,6193
2021,Oldham 024,E02001121,8679,4394,4285
2021,Oldham 026,E02001123,7060,3782,3278
2021,Oldham 027,E02001124,6876,3431,3445
2021,Oldham 028,E02001125,7917,4037,3880
2021,Oldham 029,E02001126,9164,4628,4536
2021,Oldham 030,E02001127,7755,4085,3670
2021,Oldham 031,E02001128,7458,3859,3599
2021,Oldham 032,E02001129,6787,3537,3250
2021,Oldham 033,E02001130,5803,3044,2759
2021,Oldham 034,E02001131,5458,2844,2614
2021,Oldham 036,E02007000,7693,3859,3834
2021,Oldham 037,E02007001,8486,4286,4200
2021,Rochdale 001,E02001132,6625,3400,3225
2021,Rochdale 002,E02001133,6605,3330,3275
2021,Rochdale 003,E02001134,6325,3214,3111
2021,Rochdale 004,E02001135,8403,4262,4141
2021,Rochdale 005,E02001136,9545,4721,4824
2021,Rochdale 006,E02001137,6201,3178,3023
2021,Rochdale 007,E02001138,8650,4477,4173
2021,Rochdale 008,E02001139,10362,5186,5176
2021,Rochdale 009,E02001140,8149,4170,3979
2021,Rochdale 010,E02001141,12014,5916,6098
2021,Rochdale 011,E02001142,6016,3102,2914
2021,Rochdale 012,E02001143,11640,5977,5663
2021,Rochdale 013,E02001144,6338,3245,3093
2021,Rochdale 014,E02001145,7040,3585,3455
2021,Rochdale 015,E02001146,10295,5083,5212
2021,Rochdale 016,E02001147,10402,5423,4979
2021,Rochdale 017,E02001148,10458,5333,5125
2021,Rochdale 018,E02001149,10321,5283,5038
2021,Rochdale 019,E02001150,8981,4712,4269
2021,Rochdale 020,E02001151,10103,5134,4969
2021,Rochdale 021,E02001152,9776,4975,4801
2021,Rochdale 022,E02001153,12281,6427,5854
2021,Rochdale 023,E02001154,10132,5193,4939
2021,Rochdale 024,E02001155,7210,3643,3567
2021,Rochdale 025,E02001156,9903,5088,4815
2021,Salford 001,E02001157,8704,4611,4093
2021,Salford 002,E02001158,6061,3118,2943
2021,Salford 003,E02001159,7494,3872,3622
2021,Salford 004,E02001160,7272,3752,3520
2021,Salford 005,E02001161,5843,2985,2858
2021,Salford 006,E02001162,5821,2971,2850
2021,Salford 007,E02001163,9918,5031,4887
2021,Salford 008,E02001164,7676,3539,4137
2021,Salford 009,E02001165,6171,3180,2991
2021,Salford 010,E02001166,8246,3890,4356
2021,Salford 011,E02001167,6969,3564,3405
2021,Salford 012,E02001168,9894,5110,4784
2021,Salford 013,E02001169,10906,5588,5318
2021,Salford 014,E02001170,9851,4946,4905
2021,Salford 015,E02001171,6163,3113,3050
2021,Salford 017,E02001173,9504,4780,4724
2021,Salford 018,E02001174,5722,2864,2858
2021,Salford 019,E02001175,7505,3828,3677
2021,Salford 020,E02001176,11752,5737,6015
2021,Salford 021,E02001177,13344,6677,6667
2021,Salford 023,E02001179,7017,3468,3549
2021,Salford 024,E02001180,5686,2751,2935
2021,Salford 025,E02001181,5976,2964,3012
2021,Salford 026,E02001182,7353,3663,3690
2021,Salford 027,E02001183,7329,3692,3637
2021,Salford 029,E02001185,9700,5019,4681
2021,Salford 030,E02001186,10556,5401,5155
2021,Salford 031,E02006957,8279,4013,4266
2021,Salford 032,E02006958,8073,3883,4190
2021,Salford 033,E02006959,8024,3668,4356
2021,Salford 034,E02006960,9327,4488,4839
2021,Salford 035,E02006961,6666,3259,3407
2021,Salford 036,E02006962,5123,2355,2768
2021,Salford 037,E02006963,6006,2614,3392
2021,Stockport 001,E02001187,7004,3656,3348
2021,Stockport 002,E02001188,8651,4404,4247
2021,Stockport 003,E02001189,8298,4294,4004
2021,Stockport 004,E02001190,7960,4045,3915
2021,Stockport 005,E02001191,5740,2952,2788
2021,Stockport 006,E02001192,6557,3288,3269
2021,Stockport 007,E02001193,6410,3240,3170
2021,Stockport 008,E02001194,6376,3222,3154
2021,Stockport 009,E02001195,7553,3882,3671
2021,Stockport 010,E02001196,7831,4040,3791
2021,Stockport 011,E02001197,6278,3243,3035
2021,Stockport 012,E02001198,7519,3960,3559
2021,Stockport 013,E02001199,7905,4030,3875
2021,Stockport 014,E02001200,7887,3889,3998
2021,Stockport 015,E02001201,5787,2956,2831
2021,Stockport 016,E02001202,6454,3275,3179
2021,Stockport 017,E02001203,5861,3017,2844
2021,Stockport 018,E02001204,8923,4596,4327
2021,Stockport 019,E02001205,8430,4328,4102
2021,Stockport 020,E02001206,7269,3780,3489
2021,Stockport 021,E02001207,6849,3476,3373
2021,Stockport 022,E02001208,7570,3949,3621
2021,Stockport 023,E02001209,7769,4015,3754
2021,Stockport 024,E02001210,7438,3890,3548
2021,Stockport 025,E02001211,6667,3441,3226
2021,Stockport 026,E02001212,6989,3608,3381
2021,Stockport 027,E02001213,9918,5044,4874
2021,Stockport 028,E02001214,8020,4171,3849
2021,Stockport 029,E02001215,5973,3090,2883
2021,Stockport 030,E02001216,7841,3997,3844
2021,Stockport 031,E02001217,6758,3483,3275
2021,Stockport 032,E02001218,6022,3110,2912
2021,Stockport 033,E02001219,5284,2700,2584
2021,Stockport 034,E02001220,5675,2904,2771
2021,Stockport 035,E02001221,5866,2954,2912
2021,Stockport 036,E02001222,6478,3350,3128
2021,Stockport 037,E02001223,6667,3460,3207
2021,Stockport 038,E02001224,5784,2963,2821
2021,Stockport 039,E02001225,7377,3842,3535
2021,Stockport 040,E02001226,7180,3647,3533
2021,Stockport 041,E02001227,5690,2959,2731
2021,Stockport 042,E02001228,6260,3220,3040
2021,Tameside 001,E02001229,10311,5242,5069
2021,Tameside 002,E02001230,5871,2939,2932
2021,Tameside 003,E02001231,7101,3645,3456
2021,Tameside 004,E02001232,8694,4538,4156
2021,Tameside 005,E02001233,7992,4085,3907
2021,Tameside 006,E02001234,7944,4074,3870
2021,Tameside 007,E02001235,7215,3551,3664
2021,Tameside 008,E02001236,6114,3096,3018
2021,Tameside 009,E02001237,7218,3707,3511
2021,Tameside 010,E02001238,7993,4065,3928
2021,Tameside 011,E02001239,9538,4909,4629
2021,Tameside 012,E02001240,6383,3209,3174
2021,Tameside 013,E02001241,11205,5475,5730
2021,Tameside 014,E02001242,7055,3639,3416
2021,Tameside 015,E02001243,8237,4092,4145
2021,Tameside 016,E02001244,5409,2728,2681
2021,Tameside 017,E02001245,8041,4036,4005
2021,Tameside 018,E02001246,7438,3900,3538
2021,Tameside 019,E02001247,7418,3781,3637
2021,Tameside 020,E02001248,11983,6129,5854
2021,Tameside 021,E02001249,6371,3294,3077
2021,Tameside 022,E02001250,6475,3308,3167
2021,Tameside 023,E02001251,6095,3074,3021
2021,Tameside 024,E02001252,7540,3873,3667
2021,Tameside 025,E02001253,5012,2553,2459
2021,Tameside 026,E02001254,5634,2911,2723
2021,Tameside 027,E02001255,7683,3972,3711
2021,Tameside 028,E02001256,10544,5371,5173
2021,Tameside 029,E02001257,9119,4759,4360
2021,Tameside 030,E02001258,7437,3839,3598
2021,Trafford 001,E02001259,11722,5864,5858
2021,Trafford 002,E02001260,7581,3906,3675
2021,Trafford 003,E02001261,8878,4472,4406
2021,Trafford 004,E02001262,8674,4430,4244
2021,Trafford 005,E02001263,8395,4300,4095
2021,Trafford 006,E02001264,8655,4431,4224
2021,Trafford 007,E02001265,8193,4251,3942
2021,Trafford 008,E02001266,6924,3593,3331
2021,Trafford 009,E02001267,7247,3758,3489
