date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Bolton 001A,E01004768,1595,789,806
2021,Bolton 001B,E01004803,1620,839,781
2021,Bolton 001C,E01004804,1468,755,713
2021,Bolton 001D,E01004807,1377,677,700
2021,Bolton 001E,E01004808,1618,826,792
2021,Bolton 002A,E01004788,1356,697,659
2021,Bolton 002B,E01004790,1418,744,674
2021,Bolton 002C,E01004805,1565,805,760
2021,Bolton 002D,E01004806,1517,806,711
2021,Bolton 002E,E01004810,1557,805,752
2021,Bolton 003A,E01004769,1503,776,727
2021,Bolton 003B,E01004770,1521,785,736
2021,Bolton 003C,E01004771,1685,856,829
2021,Bolton 003D,E01004773,1965,990,975
2021,Bolton 003E,E01004809,1723,917,806
2021,Bolton 004A,E01004777,1723,914,809
2021,Bolton 004B,E01004881,1482,781,701
2021,Bolton 004C,E01004888,1281,631,650
2021,Bolton 004D,E01004889,1432,754,678
2021,Bolton 004E,E01004890,1381,698,683
2021,Bolton 005A,E01004766,1658,802,856
2021,Bolton 005B,E01004767,1887,928,959
2021,Bolton 005C,E01004772,1846,991,855
2021,Bolton 005D,E01004774,1765,892,873
2021,Bolton 005E,E01004824,1884,947,937
2021,Bolton 006A,E01004784,1193,585,608
2021,Bolton 006B,E01004785,1523,780,743
2021,Bolton 006C,E01004786,1450,769,681
2021,Bolton 006D,E01004789,1452,770,682
2021,Bolton 006E,E01004791,1323,699,624
2021,Bolton 006F,E01004792,1409,738,671
2021,Bolton 007A,E01004779,1631,805,826
2021,Bolton 007B,E01004781,2134,1067,1067
2021,Bolton 007C,E01004882,1350,677,673
2021,Bolton 007D,E01004883,1760,902,858
2021,Bolton 007E,E01004884,1476,767,709
2021,Bolton 008A,E01004864,1464,744,720
2021,Bolton 008B,E01004867,1551,804,747
2021,Bolton 008C,E01004921,1633,850,783
2021,Bolton 008D,E01004924,1575,803,772
2021,Bolton 008E,E01004925,1590,802,788
2021,Bolton 009A,E01004778,1190,619,571
2021,Bolton 009B,E01004780,2288,1145,1143
2021,Bolton 009C,E01004782,1348,717,631
2021,Bolton 009D,E01004783,1477,762,715
2021,Bolton 010A,E01004802,1973,1020,953
2021,Bolton 010B,E01004926,1432,768,664
2021,Bolton 010C,E01004927,2301,1186,1115
2021,Bolton 010D,E01004929,2728,1399,1329
2021,Bolton 011A,E01004820,1790,911,879
2021,Bolton 011B,E01004825,1971,972,999
2021,Bolton 011C,E01004826,1667,833,834
2021,Bolton 011D,E01004865,1581,794,787
2021,Bolton 011E,E01004866,2038,967,1071
2021,Bolton 012A,E01004840,1736,881,855
2021,Bolton 012B,E01004841,1746,891,855
2021,Bolton 012C,E01004842,1713,890,823
2021,Bolton 012D,E01004919,1509,764,745
2021,Bolton 012E,E01004920,1641,846,795
2021,Bolton 013A,E01004787,1708,888,820
2021,Bolton 013B,E01004793,1749,947,802
2021,Bolton 013C,E01004794,2122,1060,1062
2021,Bolton 013D,E01004795,1504,785,719
2021,Bolton 013E,E01004797,1492,759,733
2021,Bolton 014A,E01004775,2326,1176,1150
2021,Bolton 014B,E01004885,1425,720,705
2021,Bolton 014C,E01004886,1397,717,680
2021,Bolton 014D,E01004887,1327,710,617
2021,Bolton 015A,E01004868,2163,1040,1123
2021,Bolton 015B,E01004869,2188,1129,1059
2021,Bolton 015C,E01004870,2015,888,1127
2021,Bolton 015D,E01004871,1814,890,924
2021,Bolton 015E,E01004922,2254,1153,1101
2021,Bolton 016B,E01004822,1851,947,904
2021,Bolton 016C,E01004823,2047,1011,1036
2021,Bolton 016D,E01004848,2090,988,1102
2021,Bolton 016E,E01033217,1228,569,659
2021,Bolton 016F,E01033220,1314,595,719
2021,Bolton 017A,E01004818,1722,779,943
2021,Bolton 017B,E01004819,1518,745,773
2021,Bolton 017C,E01004928,1378,713,665
2021,Bolton 017D,E01004930,1514,776,738
2021,Bolton 017E,E01004931,1564,781,783
2021,Bolton 017F,E01004932,1482,726,756
2021,Bolton 018A,E01004834,1745,827,918
2021,Bolton 018B,E01004838,2008,1034,974
2021,Bolton 018C,E01004843,1558,808,750
2021,Bolton 018D,E01004845,1872,956,916
2021,Bolton 018E,E01004923,1675,838,837
2021,Bolton 019A,E01004796,1576,774,802
2021,Bolton 019B,E01004798,1613,857,756
2021,Bolton 019C,E01004799,1271,648,623
2021,Bolton 019D,E01004800,1295,646,649
2021,Bolton 019E,E01004801,1674,875,799
2021,Bolton 019F,E01004917,2298,1170,1128
2021,Bolton 020A,E01004835,1461,731,730
2021,Bolton 020B,E01004836,1746,900,846
2021,Bolton 020C,E01004837,1561,769,792
2021,Bolton 020D,E01004844,1573,821,752
2021,Bolton 020E,E01004897,1013,515,498
2021,Bolton 021A,E01004827,1990,977,1013
2021,Bolton 021B,E01004849,1794,930,864
2021,Bolton 021C,E01004850,2293,1040,1253
2021,Bolton 021D,E01004851,1691,842,849
2021,Bolton 021E,E01004853,1575,775,800
2021,Bolton 022A,E01004811,1845,956,889
2021,Bolton 022B,E01004812,2402,1204,1198
2021,Bolton 022C,E01004813,1748,906,842
2021,Bolton 022D,E01004815,1786,896,890
2021,Bolton 022E,E01004817,2064,989,1075
2021,Bolton 023A,E01004828,2017,1023,994
2021,Bolton 023B,E01004829,1458,741,717
2021,Bolton 023C,E01004832,1641,838,803
2021,Bolton 023D,E01004854,1658,845,813
2021,Bolton 023E,E01004878,1697,859,838
2021,Bolton 024A,E01004911,1539,786,753
2021,Bolton 024B,E01004912,1435,738,697
2021,Bolton 024C,E01004913,1955,991,964
2021,Bolton 024D,E01004914,1170,606,564
2021,Bolton 024E,E01004915,1274,647,627
2021,Bolton 024F,E01004916,1467,773,694
2021,Bolton 024G,E01004918,1225,616,609
2021,Bolton 025A,E01004846,1410,695,715
2021,Bolton 025B,E01004847,2282,1213,1069
