"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
"2021","Boston","E07000136",70502,53830,7600,4559,2649,1864
"2021","East Lindsey","E07000137",142296,136421,4187,780,513,395
"2021","Lincoln","E07000138",103814,88152,7443,3239,2454,2526
"2021","North Kesteven","E07000139",118074,110835,5322,902,578,437
"2021","South Holland","E07000140",95122,81215,7329,3592,1962,1024
"2021","South Kesteven","E07000141",143404,130616,8439,2344,1235,770
"2021","West Lindsey","E07000142",95153,90468,3417,595,370,303
"2021","Ashfield","E07000170",126300,119087,4129,1643,848,593
"2021","Bassetlaw","E07000171",117805,109896,4425,1823,1097,564
"2021","Broxtowe","E07000172",110940,99589,6516,1894,1427,1514
"2021","Gedling","E07000173",117263,108337,6175,1380,829,542
"2021","Mansfield","E07000174",110481,98571,5325,3244,1965,1376
"2021","Newark and Sherwood","E07000175",122956,114028,5144,1912,1194,678
"2021","Rushcliffe","E07000176",119077,109177,6702,1237,1008,953
"2021","Herefordshire, County of","E06000019",187034,170958,9362,3207,1917,1590
"2021","Telford and Wrekin","E06000020",185541,164432,10890,4254,3578,2387
"2021","Stoke-on-Trent","E06000021",258369,224531,16485,6871,6165,4317
"2021","Shropshire","E06000051",323606,304471,11108,3172,2396,2459
"2021","Cannock Chase","E07000192",100519,96919,2213,647,452,288
"2021","East Staffordshire","E07000193",124019,106755,8316,4113,3048,1787
"2021","Lichfield","E07000194",106431,101308,3467,750,574,332
"2021","Newcastle-under-Lyme","E07000195",123299,114929,4844,1495,1089,942
"2021","South Staffordshire","E07000196",110475,106840,2840,370,239,186
"2021","Stafford","E07000197",136867,126625,6036,1880,1488,838
"2021","Staffordshire Moorlands","E07000198",95846,93393,1785,343,195,130
"2021","Tamworth","E07000199",78646,73339,2435,1263,1096,513
"2021","North Warwickshire","E07000218",65035,62234,1644,522,434,201
"2021","Nuneaton and Bedworth","E07000219",134195,118758,9023,3200,1972,1242
"2021","Rugby","E07000220",114363,93470,11016,4673,3305,1899
"2021","Stratford-on-Avon","E07000221",134725,123358,6966,2021,1487,893
"2021","Warwick","E07000222",148453,124265,11836,4115,4267,3970
"2021","Bromsgrove","E07000234",99183,94380,3535,515,375,378
"2021","Malvern Hills","E07000235",79486,74872,3050,570,475,519
"2021","Redditch","E07000236",87036,77100,5639,2280,1226,791
