date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Bolton 022D,E01004815,1763,1621,1,129,12
2021,Bolton 022E,E01004817,2044,1615,27,341,61
2021,Bolton 023A,E01004828,1978,1835,2,109,32
2021,Bolton 023B,E01004829,1431,1336,1,80,14
2021,Bolton 023C,E01004832,1617,1519,1,84,13
2021,Bolton 023D,E01004854,1627,1520,0,82,25
2021,Bolton 023E,E01004878,1672,1563,2,97,10
2021,Bolton 024A,E01004911,1522,1403,1,110,8
2021,Bolton 024B,E01004912,1424,1356,0,65,3
2021,Bolton 024C,E01004913,1942,1849,0,87,6
2021,Bolton 024D,E01004914,1168,1112,4,46,6
2021,Bolton 024E,E01004915,1265,1194,1,61,9
2021,Bolton 024F,E01004916,1457,1359,1,94,3
2021,Bolton 024G,E01004918,1219,1161,0,58,0
2021,Bolton 025A,E01004846,1385,1242,0,114,29
2021,Bolton 025B,E01004847,2249,2129,3,100,17
2021,Bolton 025C,E01004852,1709,1607,6,67,29
2021,Bolton 025D,E01004877,2043,1943,2,78,20
2021,Bolton 025E,E01004879,1638,1549,2,75,12
2021,Bolton 026A,E01004830,1730,1533,0,172,25
2021,Bolton 026B,E01004831,1807,1633,6,134,34
2021,Bolton 026C,E01004833,1509,1387,2,99,21
2021,Bolton 026D,E01004839,2342,2194,2,131,15
2021,Bolton 027A,E01004814,1580,1481,1,84,14
2021,Bolton 027B,E01004855,1454,1325,2,101,26
2021,Bolton 027C,E01004856,1517,1381,1,118,17
2021,Bolton 027D,E01004857,1868,1609,2,228,29
2021,Bolton 028A,E01004891,1523,1413,2,103,5
2021,Bolton 028B,E01004893,1513,1389,2,115,7
2021,Bolton 028C,E01004894,1910,1694,2,200,14
2021,Bolton 028E,E01004901,1759,1628,9,117,5
2021,Bolton 028F,E01033218,1560,1441,3,115,1
2021,Bolton 028G,E01033219,1407,1312,0,92,3
2021,Bolton 029A,E01004816,2765,2495,4,172,94
2021,Bolton 029B,E01004872,1678,1566,1,88,23
2021,Bolton 029C,E01004873,2005,1906,2,79,18
2021,Bolton 029D,E01004875,1650,1507,3,133,7
2021,Bolton 029E,E01004880,1463,1382,4,66,11
2021,Bolton 030A,E01004892,1568,1469,7,86,6
2021,Bolton 030B,E01004896,1307,1236,2,63,6
2021,Bolton 030C,E01004899,1578,1458,1,113,6
2021,Bolton 030D,E01004900,1598,1477,3,109,9
2021,Bolton 031A,E01004776,1807,1660,3,135,9
2021,Bolton 031B,E01004895,1321,1241,2,76,2
2021,Bolton 031C,E01004936,2145,1933,4,202,6
2021,Bolton 031D,E01004938,1541,1469,1,63,8
2021,Bolton 031E,E01004939,1582,1501,0,75,6
2021,Bolton 032A,E01004858,1558,1376,5,170,7
2021,Bolton 032B,E01004859,1492,1355,0,128,9
2021,Bolton 032C,E01004860,1440,1326,3,106,5
2021,Bolton 032D,E01004902,1837,1684,0,141,12
2021,Bolton 032E,E01004906,1779,1637,2,129,11
2021,Bolton 033A,E01004861,1930,1759,1,153,17
2021,Bolton 033B,E01004862,1421,1339,3,77,2
2021,Bolton 033C,E01004863,1558,1434,0,111,13
2021,Bolton 033D,E01004874,1743,1603,3,132,5
2021,Bolton 033E,E01004876,1955,1783,0,153,19
2021,Bolton 034A,E01004903,1433,1363,4,63,3
2021,Bolton 034B,E01004904,1661,1556,1,97,7
2021,Bolton 034C,E01004905,1574,1464,3,95,12
2021,Bolton 034D,E01004907,1294,1245,3,45,1
2021,Bolton 034E,E01004908,1285,1226,1,56,2
2021,Bolton 034F,E01004909,1380,1307,1,69,3
2021,Bolton 034G,E01004910,1996,1782,1,204,9
2021,Bolton 035A,E01004933,1306,1225,0,79,2
2021,Bolton 035B,E01004934,1430,1356,2,67,5
2021,Bolton 035C,E01004935,1814,1694,5,108,7
2021,Bolton 035D,E01004937,1613,1449,2,157,5
2021,Bolton 035E,E01004940,1413,1339,2,70,2
2021,Bury 001A,E01005014,1453,1324,2,123,4
2021,Bury 001B,E01005015,1483,1366,0,117,0
2021,Bury 001C,E01005016,1485,1368,2,105,10
2021,Bury 001D,E01005017,1818,1731,2,83,2
2021,Bury 001E,E01005018,1519,1393,1,118,7
2021,Bury 001F,E01005021,1215,1085,8,120,2
2021,Bury 002A,E01005019,1488,1408,4,68,8
2021,Bury 002B,E01005023,1272,1172,4,91,5
2021,Bury 002C,E01005046,1469,1391,2,71,5
2021,Bury 002D,E01005048,1647,1562,7,70,8
2021,Bury 003A,E01005020,1357,1269,5,79,4
2021,Bury 003B,E01005022,1483,1353,1,124,5
2021,Bury 003C,E01005047,1465,1348,6,105,6
2021,Bury 003D,E01005049,1629,1512,2,107,8
2021,Bury 003E,E01005051,1515,1402,3,106,4
2021,Bury 004A,E01004976,1520,1435,1,80,4
2021,Bury 004B,E01004977,1698,1537,2,148,11
2021,Bury 004C,E01004978,1834,1699,5,112,18
2021,Bury 004D,E01004981,1462,1384,1,74,3
2021,Bury 004E,E01004982,1477,1367,3,99,8
2021,Bury 005A,E01004961,1435,1354,2,75,4
2021,Bury 005B,E01004965,1223,1167,2,50,4
2021,Bury 005C,E01004966,1799,1702,3,83,11
2021,Bury 005D,E01004967,1180,1112,1,61,6
2021,Bury 006A,E01004963,1461,1356,0,101,4
2021,Bury 006B,E01004968,1469,1379,1,84,5
2021,Bury 006C,E01005050,2111,1959,3,142,7
2021,Bury 006D,E01005052,1431,1370,2,56,3
2021,Bury 006E,E01005053,1511,1384,2,120,5
2021,Bury 007A,E01004954,1435,1340,0,86,9
2021,Bury 007B,E01004955,1345,1261,1,71,12
2021,Bury 007C,E01004956,1751,1634,1,111,5
2021,Bury 007D,E01004957,1866,1731,1,117,17
2021,Bury 007E,E01004960,1645,1507,1,123,14
2021,Bury 008A,E01004958,1488,1367,0,104,17
2021,Bury 008B,E01004959,1715,1607,5,86,17
2021,Bury 008C,E01004979,1790,1620,1,150,19
2021,Bury 008D,E01004980,1431,1277,0,138,16
2021,Bury 008E,E01005024,2606,2223,4,303,76
2021,Bury 008F,E01005026,2158,2023,0,111,24
2021,Bury 009A,E01004947,1526,1353,1,155,17
2021,Bury 009B,E01004948,1847,1702,1,135,9
2021,Bury 009C,E01004962,1984,1833,4,143,4
2021,Bury 009D,E01004964,1827,1644,3,169,11
2021,Bury 010A,E01004949,1398,1329,2,63,4
2021,Bury 010B,E01004950,1478,1403,3,71,1
2021,Bury 010C,E01004951,1555,1455,3,88,9
2021,Bury 010D,E01004952,1332,1269,1,58,4
2021,Bury 010E,E01004953,1523,1454,1,66,2
2021,Bury 011A,E01005025,1678,1569,1,100,8
2021,Bury 011B,E01005027,1838,1621,4,197,16
2021,Bury 011C,E01005028,2202,2081,0,98,23
2021,Bury 011D,E01005029,1950,1823,3,112,12
2021,Bury 012A,E01005000,1460,1373,2,82,3
2021,Bury 012B,E01005001,1266,1215,3,44,4
2021,Bury 012C,E01005005,1397,1299,2,95,1
2021,Bury 012D,E01005006,2000,1785,0,206,9
2021,Bury 013A,E01005030,1763,1632,0,120,11
2021,Bury 013B,E01005054,1564,1450,4,109,1
2021,Bury 013C,E01005059,1761,1633,4,112,12
2021,Bury 013D,E01005060,1719,1615,1,98,5
2021,Bury 014A,E01004997,1538,1398,3,128,9
2021,Bury 014B,E01004998,1643,1561,1,72,9
2021,Bury 014C,E01004999,1460,1355,3,101,1
2021,Bury 014D,E01005002,1495,1404,2,87,2
2021,Bury 014E,E01005003,1463,1366,1,92,4
2021,Bury 015A,E01004991,1363,1252,4,102,5
2021,Bury 015B,E01004992,1413,1295,2,104,12
2021,Bury 015C,E01004993,1962,1837,3,115,7
2021,Bury 015D,E01004994,1358,1232,2,113,11
2021,Bury 016A,E01004990,1566,1460,0,106,0
2021,Bury 016B,E01004996,1490,1389,1,98,2
2021,Bury 016C,E01005004,1555,1428,1,124,2
2021,Bury 016D,E01005008,2142,1949,0,176,17
2021,Bury 016E,E01005009,1745,1568,1,164,12
2021,Bury 017A,E01004945,1523,1414,4,99,6
2021,Bury 017B,E01005055,1437,1345,4,84,4
2021,Bury 017C,E01005056,1263,1174,2,86,1
2021,Bury 017D,E01005057,1607,1504,3,96,4
2021,Bury 017E,E01005058,1335,1260,2,72,1
2021,Bury 018A,E01004995,1487,1424,3,59,1
2021,Bury 018B,E01005010,1593,1455,3,124,11
2021,Bury 018C,E01005012,1739,1605,4,124,6
2021,Bury 018D,E01005013,2590,2362,9,213,6
2021,Bury 019A,E01004984,1383,1274,4,98,7
2021,Bury 019B,E01004985,1447,1374,1,67,5
2021,Bury 019C,E01004989,1412,1275,2,127,8
2021,Bury 019D,E01005007,1501,1404,1,95,1
2021,Bury 019E,E01005011,1411,1266,4,136,5
2021,Bury 020A,E01004983,1339,1223,2,106,8
2021,Bury 020B,E01004986,1606,1466,1,132,7
2021,Bury 020C,E01004987,1308,1221,1,78,8
2021,Bury 020D,E01004988,1376,1274,2,90,10
2021,Bury 021A,E01004941,1838,1728,3,101,6
2021,Bury 021B,E01004942,1677,1554,0,122,1
2021,Bury 021C,E01004943,1813,1704,2,95,12
2021,Bury 021D,E01004944,1503,1419,3,79,2
2021,Bury 021E,E01004946,1654,1555,0,94,5
2021,Bury 022A,E01004969,1494,1363,2,101,28
2021,Bury 022B,E01004970,1604,1510,6,83,5
2021,Bury 022C,E01004971,1462,1373,1,81,7
2021,Bury 022D,E01005034,1772,1593,4,167,8
2021,Bury 023A,E01004972,1482,1377,2,97,6
2021,Bury 023B,E01004973,1520,1382,5,124,9
2021,Bury 023C,E01004975,1481,1319,4,154,4
2021,Bury 023D,E01005039,1552,1431,0,119,2
2021,Bury 023E,E01005045,1601,1477,8,106,10
2021,Bury 024A,E01004974,1394,1306,1,81,6
2021,Bury 024B,E01005033,1648,1487,2,150,9
2021,Bury 024C,E01005036,1968,1788,4,165,11
2021,Bury 024D,E01005037,1470,1351,2,107,10
2021,Bury 025A,E01005031,1520,1426,5,77,12
2021,Bury 025B,E01005032,1322,1172,3,143,4
2021,Bury 025C,E01005035,1427,1308,3,113,3
2021,Bury 025D,E01005038,1344,1281,3,55,5
2021,Bury 026A,E01005040,1822,1692,5,123,2
2021,Bury 026B,E01005041,1826,1689,3,107,27
2021,Bury 026C,E01005042,1923,1789,8,106,20
2021,Bury 026D,E01005043,1908,1743,1,154,10
2021,Bury 026E,E01005044,1932,1866,5,49,12
2021,Manchester 001A,E01005098,1609,1494,3,109,3
2021,Manchester 001B,E01005099,1917,1827,2,78,10
2021,Manchester 001C,E01005100,1645,1557,6,75,7
2021,Manchester 001D,E01005102,1355,1237,6,104,8
2021,Manchester 001E,E01005103,1810,1703,3,101,3
2021,Manchester 002A,E01005101,1858,1756,3,92,7
2021,Manchester 002B,E01005135,1849,1710,9,121,9
2021,Manchester 002C,E01005136,1500,1382,1,115,2
2021,Manchester 002D,E01005138,2443,2268,3,152,20
2021,Manchester 002F,E01034107,1392,1232,3,128,29
2021,Manchester 002G,E01034108,2034,1851,1,154,28
2021,Manchester 003B,E01005139,1936,1772,5,139,20
2021,Manchester 003C,E01005141,1950,1800,3,123,24
2021,Manchester 003D,E01005251,1657,1546,0,92,19
2021,Manchester 003E,E01005252,1913,1807,1,91,14
2021,Manchester 003F,E01033685,1563,1433,2,119,9
2021,Manchester 003G,E01033687,1330,1214,1,107,8
2021,Manchester 004A,E01005104,1946,1814,1,103,28
2021,Manchester 004B,E01005160,1952,1782,2,132,36
2021,Manchester 004C,E01005161,1788,1602,2,150,34
2021,Manchester 004D,E01005162,1870,1648,10,182,30
2021,Manchester 004E,E01005163,1753,1619,6,110,18
2021,Manchester 005A,E01005247,1408,1320,7,77,4
2021,Manchester 005B,E01005248,1323,1257,7,55,4
2021,Manchester 005C,E01005249,2176,2038,0,129,9
2021,Manchester 005D,E01005250,2206,1998,2,191,15
2021,Manchester 005E,E01005253,1694,1614,4,68,8
2021,Manchester 005F,E01005254,1588,1499,2,81,6
2021,Manchester 006A,E01005164,2296,1977,2,257,60
2021,Manchester 006B,E01005205,2164,1993,6,144,21
2021,Manchester 006C,E01005206,1855,1719,1,110,25
