date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Manchester 057,E02006914,7838,2842,447,3871,678
2021,Manchester 058,E02006915,9238,8175,43,885,135
2021,Manchester 059,E02006916,6922,4890,167,1716,149
2021,Manchester 060,E02006917,6395,3344,379,2255,417
2021,Manchester 061,E02006983,6979,5603,47,1198,131
2021,Manchester 062,E02006984,5599,3773,127,1544,155
2021,Manchester 063,E02006985,9131,8214,38,657,222
2021,Manchester 064,E02006986,6240,5563,19,504,154
2021,Oldham 001,E02001098,5901,5581,5,295,20
2021,Oldham 002,E02001099,5620,5242,4,358,16
2021,Oldham 003,E02001100,5985,5582,11,385,7
2021,Oldham 004,E02001101,5620,5290,5,308,17
2021,Oldham 005,E02001102,5957,5586,9,353,9
2021,Oldham 006,E02001103,5467,5060,17,377,13
2021,Oldham 007,E02001104,7203,6597,11,570,25
2021,Oldham 008,E02001105,5895,5572,4,307,12
2021,Oldham 009,E02001106,5940,5487,5,430,18
2021,Oldham 010,E02001107,6836,6394,7,409,26
2021,Oldham 011,E02001108,5857,5460,4,382,11
2021,Oldham 012,E02001109,7628,7099,5,480,44
2021,Oldham 013,E02001110,6418,5806,13,581,18
2021,Oldham 014,E02001111,9023,8299,5,599,120
2021,Oldham 015,E02001112,5955,5587,11,331,26
2021,Oldham 016,E02001113,9303,8839,8,370,86
2021,Oldham 017,E02001114,8753,8208,13,483,49
2021,Oldham 018,E02001115,5902,5512,6,375,9
2021,Oldham 019,E02001116,7767,7108,2,543,114
2021,Oldham 020,E02001117,5962,5590,12,341,19
2021,Oldham 021,E02001118,6013,5614,8,378,13
2021,Oldham 022,E02001119,12144,11477,9,491,167
2021,Oldham 024,E02001121,8541,7899,7,510,125
2021,Oldham 026,E02001123,6955,6468,6,444,37
2021,Oldham 027,E02001124,6791,6280,7,464,40
2021,Oldham 028,E02001125,7840,7343,10,463,24
2021,Oldham 029,E02001126,9012,8266,8,658,80
2021,Oldham 030,E02001127,7658,7137,5,479,37
2021,Oldham 031,E02001128,7383,6858,13,480,32
2021,Oldham 032,E02001129,6695,6104,12,529,50
2021,Oldham 033,E02001130,5753,5424,11,303,15
2021,Oldham 034,E02001131,5400,5069,11,310,10
2021,Oldham 036,E02007000,7545,7101,7,328,109
2021,Oldham 037,E02007001,8380,7815,6,462,97
2021,Rochdale 001,E02001132,6552,6064,11,461,16
2021,Rochdale 002,E02001133,6551,6175,7,365,4
2021,Rochdale 003,E02001134,6281,5851,9,399,22
2021,Rochdale 004,E02001135,8294,7592,7,619,76
2021,Rochdale 005,E02001136,9445,8714,11,668,52
2021,Rochdale 006,E02001137,6134,5732,8,376,18
2021,Rochdale 007,E02001138,8570,7979,20,534,37
2021,Rochdale 008,E02001139,10182,9282,4,768,128
