date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Birmingham 138,E02006899,6084,3459,235,1936,454
2021,Birmingham 139,E02006900,15499,14603,19,692,185
2021,Birmingham 141,E02007038,13508,12508,22,920,58
2021,Birmingham 142,E02007039,8152,7634,21,411,86
2021,Birmingham 143,E02007040,7471,6830,40,454,147
2021,Coventry 001,E02001958,7939,7241,23,596,79
2021,Coventry 002,E02001959,6846,6302,15,469,60
2021,Coventry 004,E02001961,7872,7204,20,578,70
2021,Coventry 005,E02001962,7105,6316,23,661,105
2021,Coventry 006,E02001963,6095,5613,14,444,24
2021,Coventry 007,E02001964,10799,9699,28,984,88
2021,Coventry 008,E02001965,7993,7407,13,510,63
2021,Coventry 009,E02001966,7264,6717,7,441,99
2021,Coventry 010,E02001967,6888,6355,17,483,33
2021,Coventry 011,E02001968,7861,7223,21,558,59
2021,Coventry 012,E02001969,6708,6067,16,580,45
2021,Coventry 013,E02001970,5698,5211,5,431,51
2021,Coventry 014,E02001971,6224,5725,6,474,19
2021,Coventry 015,E02001972,11492,10103,44,1129,216
2021,Coventry 016,E02001973,8415,7522,31,740,122
2021,Coventry 017,E02001974,9359,8598,24,687,50
2021,Coventry 018,E02001975,7578,7011,10,486,71
2021,Coventry 019,E02001976,7452,6731,11,604,106
2021,Coventry 020,E02001977,9891,8034,190,1391,276
2021,Coventry 021,E02001978,6680,5990,23,571,96
2021,Coventry 022,E02001979,5560,5108,16,413,23
2021,Coventry 023,E02001980,5748,5373,7,344,24
2021,Coventry 024,E02001981,13201,9572,339,2508,782
2021,Coventry 025,E02001982,8309,7505,29,720,55
2021,Coventry 026,E02001983,7530,6851,54,581,44
2021,Coventry 027,E02001984,10341,9060,83,1000,198
2021,Coventry 028,E02001985,9178,4647,804,2950,777
2021,Coventry 029,E02001986,7866,7025,31,758,52
2021,Coventry 030,E02001987,5867,4210,348,1176,133
2021,Coventry 031,E02001988,11094,5604,850,3438,1202
2021,Coventry 032,E02001989,6213,5328,113,649,123
2021,Coventry 033,E02001990,9119,8491,19,561,48
2021,Coventry 034,E02001991,8426,7286,196,857,87
2021,Coventry 035,E02001992,10641,9798,18,761,64
2021,Coventry 036,E02001993,8922,6860,541,1260,261
2021,Coventry 037,E02001994,7875,7014,32,741,88
2021,Coventry 038,E02001995,9283,7614,128,1243,298
2021,Coventry 039,E02001996,7573,6833,10,681,49
2021,Coventry 040,E02001997,8454,7855,27,532,40
2021,Coventry 041,E02001998,5993,5590,16,349,38
2021,Coventry 042,E02001999,9072,5034,517,2586,935
2021,Coventry 043,E02006805,8984,8317,21,576,70
2021,Dudley 001,E02002000,8434,7853,7,553,21
2021,Dudley 002,E02002001,6015,5644,6,348,17
2021,Dudley 003,E02002002,6856,6520,9,317,10
2021,Dudley 004,E02002003,8938,8440,9,468,21
2021,Dudley 005,E02002004,7518,7087,8,398,25
2021,Dudley 006,E02002005,9743,9167,5,550,21
2021,Dudley 007,E02002006,6346,5910,4,420,12
2021,Dudley 008,E02002007,8945,8425,6,508,6
2021,Dudley 009,E02002008,8090,7560,19,485,26
2021,Dudley 010,E02002009,7017,6566,4,397,50
2021,Dudley 011,E02002010,8226,7380,6,713,127
2021,Dudley 012,E02002011,5862,5367,4,487,4
2021,Dudley 013,E02002012,8325,7661,10,578,76
2021,Dudley 014,E02002013,6521,6088,13,412,8
2021,Dudley 015,E02002014,8159,7395,8,661,95
2021,Dudley 016,E02002015,6982,6493,9,462,18
2021,Dudley 017,E02002016,7941,7403,3,514,21
2021,Dudley 018,E02002017,7969,7395,14,511,49
2021,Dudley 019,E02002018,8887,8335,13,523,16
2021,Dudley 020,E02002019,7712,7294,5,400,13
2021,Dudley 021,E02002020,9398,8740,12,639,7
2021,Dudley 022,E02002021,7589,6722,14,815,38
2021,Dudley 023,E02002022,8752,8155,7,581,9
2021,Dudley 024,E02002023,5306,4987,6,312,1
2021,Dudley 025,E02002024,8642,8092,5,529,16
2021,Dudley 026,E02002025,8770,7817,7,912,34
2021,Dudley 027,E02002026,6725,6349,4,360,12
2021,Dudley 028,E02002027,5339,5046,5,282,6
2021,Dudley 029,E02002028,5684,5274,14,388,8
2021,Dudley 030,E02002029,6166,5765,14,375,12
2021,Dudley 031,E02002030,6724,6209,19,484,12
2021,Dudley 032,E02002031,6202,5776,9,357,60
2021,Dudley 033,E02002032,10087,9338,12,715,22
2021,Dudley 034,E02002033,7749,7258,8,472,11
2021,Dudley 035,E02002034,8106,7329,25,730,22
2021,Dudley 036,E02002035,6067,5719,13,331,4
2021,Dudley 037,E02002036,6574,6072,3,444,55
2021,Dudley 038,E02002037,5877,5541,12,317,7
2021,Dudley 039,E02002038,9531,8784,10,710,27
2021,Dudley 040,E02002039,6165,5669,22,453,21
2021,Dudley 041,E02002040,5895,5547,14,317,17
2021,Dudley 042,E02002041,6219,5822,9,374,14
2021,Dudley 043,E02002042,7975,7545,13,405,12
2021,Sandwell 001,E02002043,8659,8193,4,437,25
2021,Sandwell 002,E02002044,7934,7467,13,426,28
2021,Sandwell 003,E02002045,7721,7257,8,444,12
2021,Sandwell 004,E02002046,5661,5400,0,251,10
2021,Sandwell 005,E02002047,7464,6957,16,469,22
2021,Sandwell 006,E02002048,6770,6382,9,353,26
2021,Sandwell 007,E02002049,6239,5823,7,361,48
2021,Sandwell 009,E02002051,6106,5743,4,343,16
2021,Sandwell 010,E02002052,11239,10413,17,720,89
2021,Sandwell 011,E02002053,6255,5736,8,471,40
2021,Sandwell 012,E02002054,5757,5440,4,281,32
2021,Sandwell 013,E02002055,10975,10166,10,647,152
2021,Sandwell 014,E02002056,9769,9041,4,686,38
2021,Sandwell 015,E02002057,10598,9817,8,715,58
2021,Sandwell 016,E02002058,13338,12345,12,861,120
2021,Sandwell 017,E02002059,11672,10725,9,826,112
2021,Sandwell 018,E02002060,7271,6712,7,479,73
2021,Sandwell 019,E02002061,6983,6401,1,493,88
2021,Sandwell 020,E02002062,8852,8145,20,568,119
2021,Sandwell 021,E02002063,10190,9365,6,723,96
2021,Sandwell 022,E02002064,12333,11509,8,750,66
2021,Sandwell 023,E02002065,13947,12913,11,787,236
2021,Sandwell 024,E02002066,8164,7560,4,485,115
2021,Sandwell 025,E02002067,6247,5771,2,454,20
2021,Sandwell 027,E02002069,7100,6502,3,577,18
2021,Sandwell 028,E02002070,10196,9138,20,825,213
2021,Sandwell 029,E02002071,6645,6226,9,390,20
2021,Sandwell 030,E02002072,8832,8110,9,655,58
2021,Sandwell 031,E02002073,8302,7656,8,571,67
2021,Sandwell 032,E02002074,8135,7686,7,407,35
2021,Sandwell 033,E02002075,8637,8059,11,540,27
2021,Sandwell 034,E02002076,10535,9459,19,939,118
2021,Sandwell 035,E02002077,10744,9958,11,741,34
2021,Sandwell 036,E02002078,6496,6107,7,345,37
2021,Sandwell 037,E02002079,8574,8023,6,520,25
2021,Sandwell 038,E02002080,7292,6650,16,602,24
2021,Sandwell 039,E02006810,10563,9780,8,725,50
2021,Sandwell 040,E02006943,7461,6727,11,582,141
2021,Sandwell 041,E02006944,7937,7277,10,537,113
2021,Solihull 001,E02002081,5391,5043,7,322,19
2021,Solihull 002,E02002082,5767,5340,6,401,20
2021,Solihull 003,E02002083,5975,5621,6,332,16
2021,Solihull 004,E02002084,6629,6180,8,435,6
2021,Solihull 005,E02002085,6578,6140,12,414,12
2021,Solihull 006,E02002086,5821,5388,3,419,11
2021,Solihull 007,E02002087,6203,5813,8,373,9
2021,Solihull 008,E02002088,9457,8713,6,696,42
2021,Solihull 009,E02002089,7996,7373,9,594,20
2021,Solihull 010,E02002090,5887,5488,8,370,21
2021,Solihull 011,E02002091,7576,6999,16,547,14
2021,Solihull 012,E02002092,7203,6587,13,584,19
2021,Solihull 013,E02002093,6638,6061,15,521,41
2021,Solihull 014,E02002094,5932,5510,21,370,31
2021,Solihull 015,E02002095,8556,7858,19,613,66
2021,Solihull 016,E02002096,10288,9165,34,966,123
2021,Solihull 017,E02002097,7284,6709,14,536,25
2021,Solihull 018,E02002098,9661,8894,24,668,75
2021,Solihull 019,E02002099,6872,6145,17,585,125
2021,Solihull 021,E02002101,6235,5718,6,486,25
2021,Solihull 022,E02002102,8702,7855,20,747,80
2021,Solihull 023,E02002103,6040,5639,10,377,14
2021,Solihull 024,E02002104,5815,5402,22,360,31
2021,Solihull 025,E02002105,8208,7536,25,603,44
2021,Solihull 026,E02002106,9667,8921,34,682,30
2021,Solihull 027,E02002107,5376,4920,13,406,37
2021,Solihull 028,E02002108,9781,8855,31,814,81
2021,Solihull 029,E02002109,11981,10410,39,1452,80
2021,Solihull 030,E02006808,6653,6024,11,575,43
2021,Walsall 001,E02002110,6960,6580,8,365,7
2021,Walsall 002,E02002111,6348,5917,7,404,20
2021,Walsall 003,E02002112,5235,4987,4,240,4
2021,Walsall 004,E02002113,6322,5830,8,478,6
2021,Walsall 005,E02002114,6028,5631,7,380,10
2021,Walsall 006,E02002115,6757,6351,9,384,13
2021,Walsall 007,E02002116,6714,6210,5,488,11
2021,Walsall 008,E02002117,6211,5822,9,373,7
2021,Walsall 009,E02002118,7320,6864,5,431,20
2021,Walsall 010,E02002119,5924,5499,13,408,4
2021,Walsall 011,E02002120,6057,5700,12,335,10
2021,Walsall 012,E02002121,6595,6151,4,409,31
2021,Walsall 013,E02002122,7047,6578,9,428,32
2021,Walsall 014,E02002123,6488,6069,5,401,13
2021,Walsall 015,E02002124,6865,6366,10,470,19
2021,Walsall 016,E02002125,6377,5959,2,413,3
2021,Walsall 017,E02002126,6542,6101,11,407,23
2021,Walsall 018,E02002127,9650,8920,10,631,89
2021,Walsall 019,E02002128,5580,5162,5,396,17
2021,Walsall 020,E02002129,5970,5590,4,364,12
2021,Walsall 021,E02002130,6739,6372,1,345,21
2021,Walsall 022,E02002131,7734,7345,16,361,12
2021,Walsall 023,E02002132,6390,6010,5,361,14
2021,Walsall 024,E02002133,6840,6230,9,547,54
2021,Walsall 025,E02002134,9102,8413,2,627,60
2021,Walsall 026,E02002135,7873,7212,7,538,116
2021,Walsall 027,E02002136,7902,7269,8,579,46
2021,Walsall 028,E02002137,6076,5659,11,395,11
2021,Walsall 029,E02002138,6300,5839,8,397,56
2021,Walsall 030,E02002139,10667,9138,33,1310,186
2021,Walsall 031,E02002140,8427,7766,6,531,124
2021,Walsall 032,E02002141,6391,5965,11,401,14
2021,Walsall 033,E02002142,7415,6809,5,557,44
2021,Walsall 034,E02002143,10114,9395,13,590,116
2021,Walsall 035,E02002144,6793,6321,9,443,20
2021,Walsall 036,E02002145,8386,7705,4,626,51
2021,Walsall 037,E02002146,6372,5987,9,357,19
2021,Walsall 038,E02002147,8962,8265,5,642,50
2021,Walsall 039,E02002148,11316,10543,14,729,30
2021,Wolverhampton 001,E02002149,10005,9350,14,611,30
2021,Wolverhampton 002,E02002150,5731,5347,12,341,31
2021,Wolverhampton 003,E02002151,5505,5164,11,314,16
2021,Wolverhampton 004,E02002152,6207,5823,6,359,19
2021,Wolverhampton 005,E02002153,7366,6847,9,500,10
2021,Wolverhampton 006,E02002154,7322,6524,7,734,57
2021,Wolverhampton 007,E02002155,6424,5889,6,483,46
2021,Wolverhampton 008,E02002156,8230,7725,10,433,62
2021,Wolverhampton 009,E02002157,7743,7185,17,495,46
2021,Wolverhampton 010,E02002158,7418,6821,9,556,32
2021,Wolverhampton 011,E02002159,6105,5631,7,386,81
2021,Wolverhampton 012,E02002160,7497,7001,9,422,65
2021,Wolverhampton 013,E02002161,6968,6249,8,624,87
2021,Wolverhampton 014,E02002162,7712,7088,14,556,54
2021,Wolverhampton 015,E02002163,11707,10436,11,1004,256
2021,Wolverhampton 016,E02002164,6640,5399,94,932,215
2021,Wolverhampton 017,E02002165,7787,6800,31,821,135
2021,Wolverhampton 018,E02002166,9319,8676,13,556,74
2021,Wolverhampton 019,E02002167,6595,6130,6,447,12
2021,Wolverhampton 020,E02002168,11415,9377,116,1542,380
2021,Wolverhampton 021,E02002169,8737,8140,20,529,48
2021,Wolverhampton 022,E02002170,6237,5838,3,339,57
2021,Wolverhampton 023,E02002171,7626,7050,5,533,38
2021,Wolverhampton 026,E02002174,7581,6984,12,523,62
2021,Wolverhampton 027,E02002175,7697,6969,9,602,117
2021,Wolverhampton 028,E02002176,7734,7089,18,587,40
2021,Wolverhampton 029,E02002177,11337,9726,18,1412,181
2021,Wolverhampton 030,E02002178,8071,7448,20,518,85
2021,Wolverhampton 031,E02002179,6502,6074,17,387,24
2021,Wolverhampton 032,E02002180,6436,6017,16,353,50
2021,Wolverhampton 033,E02002181,8333,7828,7,455,43
2021,Wolverhampton 034,E02002182,6527,6032,14,445,36
2021,Wolverhampton 035,E02006894,14123,12412,25,1380,306
