date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Bolton 001,E02000984,2,1,1
2021,Bolton 002,E02000985,1,0,1
2021,Bolton 003,E02000986,1,1,0
2021,Bolton 004,E02000987,0,0,0
2021,Bolton 005,E02000988,18,7,11
2021,Bolton 006,E02000989,0,0,0
2021,Bolton 007,E02000990,1,1,0
2021,Bolton 008,E02000991,21,12,9
2021,Bolton 009,E02000992,0,0,0
2021,Bolton 010,E02000993,7,2,5
2021,Bolton 011,E02000994,34,15,19
2021,Bolton 012,E02000995,6,1,5
2021,Bolton 013,E02000996,4,3,1
2021,Bolton 014,E02000997,2,1,1
2021,Bolton 015,E02000998,60,30,30
2021,Bolton 016,E02000999,62,23,39
2021,Bolton 017,E02001000,37,25,12
2021,Bolton 018,E02001001,25,10,15
2021,Bolton 019,E02001002,12,6,6
2021,Bolton 020,E02001003,5,3,2
2021,Bolton 021,E02001004,33,14,19
2021,Bolton 022,E02001005,62,34,28
2021,Bolton 023,E02001006,32,17,15
2021,Bolton 024,E02001007,4,0,4
2021,Bolton 025,E02001008,35,16,19
2021,Bolton 026,E02001009,38,22,16
2021,Bolton 027,E02001010,20,10,10
2021,Bolton 028,E02001011,2,1,1
2021,Bolton 029,E02001012,25,8,17
2021,Bolton 030,E02001013,6,5,1
2021,Bolton 031,E02001014,1,0,1
2021,Bolton 032,E02001015,15,10,5
2021,Bolton 033,E02001016,11,3,8
2021,Bolton 034,E02001017,10,6,4
2021,Bolton 035,E02001018,2,2,0
2021,Bury 001,E02001019,1,1,0
2021,Bury 002,E02001020,1,0,1
2021,Bury 003,E02001021,2,0,2
2021,Bury 004,E02001022,2,0,2
2021,Bury 005,E02001023,6,3,3
2021,Bury 006,E02001024,1,0,1
2021,Bury 007,E02001025,12,6,6
2021,Bury 008,E02001026,36,16,20
2021,Bury 009,E02001027,4,0,4
2021,Bury 010,E02001028,2,2,0
2021,Bury 011,E02001029,25,17,8
2021,Bury 012,E02001030,0,0,0
2021,Bury 013,E02001031,9,5,4
2021,Bury 014,E02001032,8,3,5
2021,Bury 015,E02001033,10,6,4
2021,Bury 016,E02001034,16,4,12
2021,Bury 017,E02001035,1,1,0
2021,Bury 018,E02001036,1,0,1
2021,Bury 019,E02001037,1,1,0
2021,Bury 020,E02001038,5,5,0
2021,Bury 021,E02001039,6,3,3
2021,Bury 022,E02001040,5,3,2
2021,Bury 023,E02001041,9,4,5
2021,Bury 024,E02001042,8,5,3
2021,Bury 025,E02001043,5,1,4
2021,Bury 026,E02001044,5,4,1
2021,Manchester 001,E02001045,11,5,6
2021,Manchester 002,E02001046,13,5,8
2021,Manchester 003,E02001047,18,11,7
2021,Manchester 004,E02001048,44,26,18
2021,Manchester 005,E02001049,19,10,9
2021,Manchester 006,E02001050,48,28,20
2021,Manchester 007,E02001051,36,19,17
2021,Manchester 008,E02001052,80,39,41
2021,Manchester 009,E02001053,28,19,9
2021,Manchester 011,E02001055,11,8,3
2021,Manchester 012,E02001056,10,5,5
2021,Manchester 015,E02001059,55,28,27
2021,Manchester 017,E02001061,39,21,18
2021,Manchester 018,E02001062,367,233,134
2021,Manchester 019,E02001063,495,335,160
2021,Manchester 020,E02001064,51,24,27
2021,Manchester 021,E02001065,44,26,18
2021,Manchester 022,E02001066,231,130,101
2021,Manchester 023,E02001067,52,27,25
2021,Manchester 024,E02001068,58,29,29
2021,Manchester 025,E02001069,195,97,98
2021,Manchester 026,E02001070,370,209,161
2021,Manchester 028,E02001072,27,16,11
2021,Manchester 029,E02001073,12,6,6
2021,Manchester 030,E02001074,34,21,13
2021,Manchester 031,E02001075,52,26,26
2021,Manchester 032,E02001076,96,41,55
2021,Manchester 033,E02001077,7,3,4
2021,Manchester 034,E02001078,9,0,9
2021,Manchester 035,E02001079,15,8,7
2021,Manchester 036,E02001080,52,23,29
2021,Manchester 037,E02001081,8,7,1
2021,Manchester 038,E02001082,10,6,4
2021,Manchester 039,E02001083,12,8,4
2021,Manchester 040,E02001084,19,11,8
2021,Manchester 041,E02001085,7,5,2
2021,Manchester 042,E02001086,41,9,32
2021,Manchester 043,E02001087,9,6,3
2021,Manchester 044,E02001088,10,4,6
2021,Manchester 045,E02001089,19,9,10
2021,Manchester 046,E02001090,12,6,6
2021,Manchester 047,E02001091,14,4,10
2021,Manchester 048,E02001092,15,8,7
2021,Manchester 049,E02001093,16,10,6
2021,Manchester 050,E02001094,18,13,5
2021,Manchester 051,E02001095,9,4,5
2021,Manchester 052,E02001096,2,1,1
2021,Manchester 053,E02001097,9,4,5
2021,Manchester 054,E02006902,120,61,59
2021,Manchester 055,E02006912,648,364,284
2021,Manchester 056,E02006913,40,21,19
2021,Manchester 057,E02006914,883,555,328
2021,Manchester 058,E02006915,43,24,19
2021,Manchester 059,E02006916,49,29,20
2021,Manchester 060,E02006917,489,315,174
2021,Manchester 061,E02006983,27,8,19
2021,Manchester 062,E02006984,21,10,11
2021,Manchester 063,E02006985,72,39,33
2021,Manchester 064,E02006986,41,18,23
2021,Oldham 001,E02001098,0,0,0
2021,Oldham 002,E02001099,1,1,0
