date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Bolton,E08000001,594,292,302
2021,Bury,E08000002,179,89,90
2021,Manchester,E08000003,5238,3030,2208
2021,Oldham,E08000004,424,221,203
2021,Rochdale,E08000005,368,185,183
2021,Salford,E08000006,647,322,325
2021,Stockport,E08000007,208,108,100
2021,Tameside,E08000008,198,95,103
2021,Trafford,E08000009,314,163,151
2021,Wigan,E08000010,154,90,64
2021,Birmingham,E08000025,4108,2293,1815
2021,Coventry,E08000026,3262,1900,1362
2021,Dudley,E08000027,217,119,98
2021,Sandwell,E08000028,916,454,462
2021,Solihull,E08000029,151,85,66
2021,Walsall,E08000030,414,217,197
2021,Wolverhampton,E08000031,903,491,412
