"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Leicestershire","E10000018",712365,643496,907,2196,6819,7493,4611,6536,16736,4935,7346,7197,4093
"2021","Lincolnshire","E10000019",768360,691534,884,2284,3793,3284,3009,4951,24958,8512,10771,9769,4611
"2021","Nottinghamshire","E10000024",824822,758684,843,2257,4185,3683,3094,5341,18584,6710,9077,8727,3637
"2021","North Northamptonshire","E06000061",359525,303952,496,1404,2503,2292,2124,4037,16290,5849,9088,8274,3216
"2021","West Northamptonshire","E06000062",425729,345735,492,1590,3155,3373,3086,5649,21865,7659,13191,14050,5884
"2021","Herefordshire, County of","E06000019",187034,170958,319,586,836,735,742,1059,4971,1684,2199,1989,956
"2021","Shropshire","E06000051",323606,304471,430,875,1303,1187,1212,1644,4336,1584,2402,2585,1577
"2021","Stoke-on-Trent","E06000021",258369,224531,137,375,963,1259,1193,2533,9755,3328,5467,6293,2535
"2021","Telford and Wrekin","E06000020",185543,164432,136,425,1201,1092,945,1554,5389,1977,3330,3668,1394
"2021","Staffordshire","E10000028",876103,820108,840,2023,3564,3182,2705,4324,14946,5007,8616,7943,2845
"2021","Warwickshire","E10000031",596772,522085,768,2437,5120,3913,2967,5377,19403,6728,11226,11564,5184
"2021","Birmingham","E08000025",1144919,838959,1387,8950,23257,20672,19133,32348,79376,23717,36779,40584,19757
"2021","Coventry","E08000026",345322,248991,485,2749,5643,3800,2718,6531,25323,7975,13365,17161,10581
"2021","Dudley","E08000027",323488,297930,187,746,2177,1717,1453,2752,7007,1914,3071,3329,1205
"2021","Sandwell","E08000028",341832,261213,181,1572,5825,4651,3806,7179,23450,7369,11255,11011,4320
"2021","Solihull","E08000029",216242,193991,340,1257,2471,2040,1383,2245,5150,1539,2336,2455,1035
"2021","Walsall","E08000030",284124,242162,167,939,3750,2985,2416,3873,11276,3661,5607,5230,2058
"2021","Wolverhampton","E08000031",263727,203312,249,1647,6483,3251,1947,4247,15564,5200,8221,9469,4137
"2021","Worcestershire","E10000034",603674,555179,862,2049,2885,2695,2486,3762,13454,4376,6917,6149,2860
"2021","Bedford","E06000055",185225,145586,302,1414,3082,2143,1880,3871,11166,3430,5098,5150,2103
"2021","Central Bedfordshire","E06000056",294252,261763,375,1300,2184,1856,1983,3337,9387,2773,3911,3343,2040
"2021","Luton","E06000032",225261,138675,199,1803,4792,5237,5586,8874,22704,6798,11408,12845,6340
"2021","Peterborough","E06000031",215677,154787,184,936,2040,2462,2118,4078,20890,7442,8804,8591,3345
"2021","Southend-on-Sea","E06000033",180686,158100,201,727,1207,1265,1225,2743,7401,1904,2365,2478,1070
"2021","Thurrock","E06000034",176002,139059,101,365,859,993,1832,4499,13784,3954,5062,4002,1492
"2021","Cambridgeshire","E10000003",678849,551828,875,2290,4463,4629,5011,10616,33497,12660,17702,22870,12408
"2021","Essex","E10000012",1503523,1350007,1944,5525,9131,9044,8761,16610,45270,13238,17759,18282,7952
"2021","Hertfordshire","E10000015",1198798,983677,1984,6212,13175,14379,13844,24952,60416,17489,24767,25979,11924
"2021","Norfolk","E10000020",916120,827681,1234,2697,4336,3795,3759,6816,26154,9010,11192,13163,6283
"2021","Suffolk","E10000029",760688,679542,1199,2576,4250,3557,3898,6162,19697,6253,10161,15948,7445
"2021","Camden","E09000007",210138,114647,526,1438,3125,4703,7841,14735,17744,6738,10938,16628,11075
"2021","City of London","E09000001",8585,4327,16,36,97,145,194,451,736,370,615,896,702
"2021","Hackney","E09000012",259145,156219,199,1984,4521,4440,9242,18128,23652,8760,11892,14266,5842
"2021","Hammersmith and Fulham","E09000013",183157,99818,363,1449,3277,3274,5135,12040,18073,7024,10813,15056,6835
"2021","Haringey","E09000014",264241,143117,387,2911,6509,5530,8840,19019,28140,11064,15911,16741,6072
"2021","Islington","E09000019",216589,130213,289,1745,3352,3523,6017,13209,17474,6883,10789,15182,7913
"2021","Kensington and Chelsea","E09000020",143375,66063,458,1102,2713,4380,5954,11646,14554,6374,8938,13533,7660
"2021","Lambeth","E09000022",317654,195091,360,2550,6389,5497,9657,20731,28593,10226,13959,16938,7663
"2021","Lewisham","E09000023",300553,193483,284,2381,5815,4525,7271,16951,30057,10017,12477,12337,4955
"2021","Newham","E09000025",351036,162447,110,1313,5844,8712,12632,23467,47701,17344,26804,30580,14082
"2021","Southwark","E09000028",307637,182392,225,1894,4168,4488,10183,19745,30383,10764,15183,18647,9565
"2021","Tower Hamlets","E09000030",310306,165081,122,885,2423,5644,13544,16220,30475,12987,19940,27784,15201
"2021","Wandsworth","E09000032",327505,203322,528,2190,5611,5582,6751,15554,31139,12412,16836,19714,7866
"2021","Westminster","E09000033",204235,90702,421,1488,3330,5151,7724,17211,21357,8203,13813,21412,13423
"2021","Barking and Dagenham","E09000002",218869,128483,132,635,1787,2453,5151,12958,30932,9121,11821,11140,4256
"2021","Barnet","E09000003",389344,221293,1085,3643,9170,12696,11826,23371,42047,14255,19706,21921,8331
"2021","Bexley","E09000004",246472,194714,318,1099,2696,3022,3432,7132,18000,4555,5187,4606,1711
"2021","Brent","E09000005",339816,149239,478,3797,12298,14700,12759,24225,44828,16407,24081,26518,10486
"2021","Bromley","E09000006",329991,263052,591,1949,3824,4214,4694,9496,20159,5660,6868,7015,2469
"2021","Croydon","E09000008",390719,254536,511,3415,9858,9298,9840,19490,38733,11573,13790,14451,5224
"2021","Ealing","E09000009",367113,180561,612,3164,11571,12031,11902,25247,48377,15779,23013,25394,9462
"2021","Enfield","E09000010",329982,196824,555,4845,9858,8724,10168,22355,34694,10065,13675,13530,4689
"2021","Greenwich","E09000011",289068,180578,237,1181,3211,3757,5911,14364,34536,11024,13816,14729,5724
