"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Harrogate","E07000165",162667,148113,249,460,903,945,847,1272,3790,1176,1839,2139,934
"2021","Richmondshire","E07000166",49776,45405,71,134,289,254,296,457,1010,264,410,487,699
"2021","Ryedale","E07000167",54705,51851,63,120,214,172,166,265,669,255,379,360,191
"2021","Scarborough","E07000168",108736,102093,105,299,463,373,328,497,1585,541,833,1046,573
"2021","Selby","E07000169",91987,86958,69,184,293,288,268,380,1485,572,716,546,228
"2021","Barnsley","E08000016",244571,228841,103,276,477,537,424,895,4243,1601,3441,2816,917
"2021","Doncaster","E08000017",308104,275987,164,689,1158,1042,972,1864,9443,3390,5708,5708,1979
"2021","Rotherham","E08000018",265807,247612,151,391,871,1020,965,1572,6212,1805,2055,2293,860
"2021","Sheffield","E08000019",556521,473313,368,1310,3174,3275,3434,7855,23336,7551,10267,13353,9285
"2021","Bradford","E08000032",546412,444477,509,1990,8160,8660,7860,11775,27240,8495,9455,12483,5308
"2021","Calderdale","E08000033",206627,189037,243,748,1414,1529,1402,1917,4747,1351,1387,2091,761
"2021","Kirklees","E08000034",433215,378708,307,1539,5451,4858,3992,6189,13915,3928,4907,5938,3483
"2021","Leeds","E08000035",811955,683681,641,2546,6509,5464,5114,10064,36735,11460,17189,20713,11839
