"date","geography","geography code","Passports held: Total; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: Central and South America; measures: Value","Passports held: Antarctica and Oceania, including Australasia; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
"2021","Salford","E08000006",269925,222969,198632,2218,22119,21147,638,413,1916,2793,1545,625,6007,1825,5385,972,195,777,3868,739,2399,730,5268,1552,956,2258,485,17,1191,584,607,179,16,36434
"2021","Stockport","E08000007",294776,257476,248835,2491,6150,5802,348,272,765,342,436,133,1412,504,1590,348,82,266,743,179,270,294,3224,472,427,1989,333,3,576,371,205,149,0,32608
"2021","Tameside","E08000008",231068,193246,184160,1044,8042,7859,128,199,1276,560,925,129,2665,484,1493,183,23,160,1047,120,668,259,2702,122,283,2120,174,3,284,161,123,49,1,33739
"2021","Trafford","E08000009",235048,207463,197119,3233,7111,6752,412,292,729,422,680,152,1686,438,1941,359,108,251,1105,423,404,278,5060,401,1362,2955,330,12,760,532,228,218,3,20439
"2021","Wigan","E08000010",329329,273505,263014,893,9598,9328,153,189,525,583,266,804,2599,1841,2368,270,86,184,1014,172,470,372,1588,218,258,827,279,6,389,203,186,96,5,52732
"2021","Lancashire","E10000017",1235352,1031153,984519,4212,42422,41618,703,942,4226,1688,2894,1816,14278,4528,10543,804,221,583,3011,724,1350,937,14376,796,1613,10690,1251,26,1748,1300,448,450,14,184600
"2021","Knowsley","E08000011",154522,130447,126331,548,3568,3452,21,69,294,137,110,287,1211,628,695,116,57,59,368,50,202,116,693,50,83,443,115,2,370,88,282,13,2,22629
"2021","Liverpool","E08000012",486088,408388,376506,5059,26823,25767,634,588,3231,1463,2167,1119,6083,3549,6933,1056,412,644,3366,992,1713,661,9869,2262,3067,3510,1011,19,2761,858,1903,216,7,61481
"2021","Sefton","E08000014",279229,239443,229329,1300,8814,8540,98,193,680,658,265,448,2835,1194,2169,274,102,172,409,91,159,159,944,116,178,449,200,1,563,247,316,82,0,37788
"2021","St. Helens","E08000013",183251,150481,145459,616,4406,4264,64,73,284,142,130,152,1386,715,1318,142,77,65,306,84,103,119,574,68,108,281,117,0,231,116,115,51,0,31608
"2021","Wirral","E08000015",320202,271741,265510,1523,4708,4430,195,255,286,163,231,152,1272,691,1185,278,105,173,434,99,136,199,1342,72,305,696,267,2,469,314,155,132,2,46082
"2021","East Riding of Yorkshire","E06000011",342216,282629,274796,716,7117,6922,111,228,299,237,180,502,2069,646,2650,195,72,123,351,54,114,183,844,72,166,356,246,4,498,316,182,190,3,57701
"2021","Kingston upon Hull, City of","E06000010",267014,202953,180910,349,21694,21345,124,186,797,631,256,2079,9387,3331,4554,349,153,196,1312,253,786,273,2547,553,351,1004,636,3,315,206,109,69,9,59809
"2021","North East Lincolnshire","E06000012",156965,120685,115019,212,5454,5347,28,94,69,163,74,325,1885,1229,1480,107,19,88,360,70,208,82,686,66,97,330,192,1,105,77,28,30,0,35099
"2021","North Lincolnshire","E06000013",169677,131403,121190,343,9870,9764,39,85,262,981,77,1779,3843,1509,1189,106,41,65,295,34,156,105,961,51,117,563,228,2,165,91,74,37,0,36816
"2021","York","E06000014",202819,172994,164661,848,7485,7083,346,398,881,300,476,165,1892,638,1987,402,155,247,597,133,233,231,3787,290,1923,1058,491,25,1057,752,305,210,0,24174
"2021","North Yorkshire","E10000023",615488,513779,497534,1672,14573,14204,398,563,658,417,449,393,5664,1857,3805,369,81,288,946,106,340,500,2849,112,558,1668,501,10,2337,2110,227,826,0,94751
"2021","Barnsley","E08000016",244574,195304,184962,334,10008,9823,55,127,169,250,73,412,3561,3490,1686,185,26,159,442,52,177,213,692,84,150,292,164,2,225,119,106,49,0,47862
"2021","Doncaster","E08000017",308106,246629,226473,627,19529,19052,89,169,401,270,216,841,7479,5708,3879,477,234,243,859,179,424,256,1726,166,170,1096,292,2,360,262,98,73,3,58456
"2021","Rotherham","E08000018",265810,213440,205954,417,7069,6860,63,102,283,138,144,718,1648,800,2964,209,42,167,726,133,279,314,1644,124,143,1190,187,0,215,159,56,44,2,49739
"2021","Sheffield","E08000019",556521,453907,429275,1649,22983,21853,625,622,1819,1184,1119,592,3922,2421,9549,1130,317,813,4744,1129,2460,1155,13363,2278,4216,5521,1320,28,1574,1005,569,231,14,82688
