"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","York","E06000014",202820,180964,21856,3265,996,519,1181,220,922,1799,4410,3446,4053,842,94,86,14,5,4
"2021","North Yorkshire","E10000023",615490,574950,40540,8517,2204,1205,2385,479,1201,2211,6312,5623,7774,2125,240,216,38,9,1
"2021","Barnsley","E08000016",244572,228841,15731,2114,592,370,756,136,395,890,3044,2960,3452,873,70,60,18,0,1
"2021","Doncaster","E08000017",308108,275987,32121,4038,1288,770,1715,384,921,1877,6233,5670,7074,1802,166,149,33,1,0
"2021","Rotherham","E08000018",265808,247612,18196,2787,937,563,1289,293,699,1127,3284,2914,3469,666,72,68,25,3,0
"2021","Sheffield","E08000019",556520,473313,83207,10783,4299,2669,5738,1193,3546,6011,15576,13497,15941,3123,322,393,98,14,4
"2021","Bradford","E08000032",546412,444477,101935,13068,5227,3335,8043,1799,4499,8361,20620,14940,16949,3913,475,516,156,25,9
"2021","Calderdale","E08000033",206628,189037,17591,2949,969,493,1181,253,725,1246,3368,2562,3037,606,80,81,30,10,1
"2021","Kirklees","E08000034",433218,378708,54510,6904,2763,1716,4180,960,2624,4599,11540,8223,8662,1776,222,234,78,22,7
"2021","Leeds","E08000035",811953,683681,128272,15453,6394,3895,8705,1920,5836,9145,24540,21209,25034,4928,498,522,162,17,14
"2021","Wakefield","E08000036",353373,323296,30077,3894,1265,721,1617,381,947,1900,6024,5192,6171,1631,136,149,44,5,0
"2021","Derby","E06000015",261364,210170,51194,6225,2637,1693,3970,847,2166,3551,9395,7623,10112,2292,253,310,96,18,6
"2021","Leicester","E06000016",368568,217078,151490,13725,7521,5131,12663,2744,6774,10209,27079,21524,31941,9552,1190,1137,265,28,7
"2021","Nottingham","E06000018",323632,244133,79499,8810,3987,2565,5912,1154,3501,5893,14541,12607,16180,3640,296,300,97,13,3
"2021","Rutland","E06000017",41050,37658,3392,807,209,132,318,55,113,153,491,429,468,167,21,22,6,0,1
"2021","Derbyshire","E10000007",794636,758231,36405,6771,1905,1077,2252,507,1170,1988,6252,5381,6931,1680,205,216,59,10,1
"2021","Leicestershire","E10000018",712366,643496,68870,10345,3730,2329,5436,1155,3090,4912,12730,9766,11812,2678,345,409,119,11,3
"2021","Lincolnshire","E10000019",768361,691534,76827,12630,3522,2055,4355,774,2365,4688,13502,10905,16057,5082,411,367,91,16,7
"2021","Nottinghamshire","E10000024",824823,758684,66139,9966,3106,1779,3944,831,2162,4193,12490,10679,13125,3126,322,297,96,18,5
"2021","North Northamptonshire","E06000061",359523,303952,55571,6424,2326,1420,3171,646,1689,3656,10888,9293,12229,3180,283,270,80,15,1
"2021","West Northamptonshire","E06000062",425729,345735,79994,8900,3379,1998,4652,998,2751,5280,15378,13791,17405,4552,462,341,88,16,3
"2021","Herefordshire, County of","E06000019",187035,170958,16077,2607,730,385,841,126,385,866,2949,2570,3437,952,100,92,33,3,1
"2021","Shropshire","E06000051",323606,304471,19135,3767,909,510,1255,281,740,914,2786,2645,3833,1177,122,133,48,5,10
"2021","Stoke-on-Trent","E06000021",258367,224531,33836,3932,1647,1012,2181,500,1170,2116,6151,6006,7233,1567,154,126,34,3,4
"2021","Telford and Wrekin","E06000020",185542,164432,21110,3039,1101,598,1300,312,634,1217,3749,3256,4525,1157,88,103,24,4,3
"2021","Staffordshire","E10000028",876103,820108,55995,8670,2626,1532,3490,723,1925,3731,10527,9059,10717,2423,232,240,83,10,7
"2021","Warwickshire","E10000031",596773,522085,74688,9685,3214,1901,4341,875,2756,5058,13904,12838,15555,3571,423,443,108,16,0
"2021","Birmingham","E08000025",1144922,838959,305963,36045,17137,10763,25887,5622,14562,22386,55839,45727,56075,12143,1454,1727,473,85,38
"2021","Coventry","E08000026",345324,248991,96333,10065,4582,2717,6418,1548,4546,8368,18819,15684,18863,3837,383,358,112,25,8
"2021","Dudley","E08000027",323489,297930,25559,3136,1411,898,2102,460,1078,1695,4816,3818,4691,1131,125,149,44,4,1
"2021","Sandwell","E08000028",341831,261213,80618,7806,4065,2889,7041,1497,3406,5326,14846,12024,16207,4106,547,642,187,21,8
"2021","Solihull","E08000029",216239,193991,22248,3399,1221,765,1663,355,949,1333,3658,3530,4276,807,98,130,60,1,3
"2021","Walsall","E08000030",284124,242162,41962,4675,2258,1536,3495,732,1834,2937,7923,6258,7860,1883,218,261,77,15,0
"2021","Wolverhampton","E08000031",263727,203312,60415,5685,3139,2192,5251,1072,2534,3867,10849,9178,12516,3099,408,484,123,13,5
"2021","Worcestershire","E10000034",603676,555179,48497,7188,2216,1287,2842,610,1600,3268,9603,7878,9064,2342,244,258,81,15,1
"2021","Bedford","E06000055",185227,145586,39641,4607,1884,1189,2760,553,1478,2598,7738,6525,7857,1994,203,187,55,10,3
"2021","Central Bedfordshire","E06000056",294254,261763,32491,4393,1399,826,1864,386,1158,2133,7126,5666,5945,1235,148,153,50,8,1
"2021","Luton","E06000032",225263,138675,86588,8180,3887,2552,6327,1339,3589,6332,18283,14278,16833,4002,403,454,109,17,3
"2021","Peterborough","E06000031",215673,154787,60886,6857,2525,1701,3931,857,2269,4066,11730,9691,12977,3522,357,286,106,10,1
"2021","Southend-on-Sea","E06000033",180686,158100,22586,2798,1043,596,1308,320,805,1268,4004,4020,5131,1050,106,94,37,5,1
"2021","Thurrock","E06000034",176001,139059,36942,3327,1426,871,2024,515,1354,2478,8159,6968,7708,1661,221,193,32,4,1
"2021","Cambridgeshire","E10000003",678850,551828,127022,14839,5007,2703,6112,1269,4350,7919,24002,23836,29146,6382,645,588,192,26,6
"2021","Essex","E10000012",1503520,1350007,153513,20922,6950,4015,8991,2038,5589,9790,29463,26587,30877,6385,746,880,234,31,15
"2021","Hertfordshire","E10000015",1198798,983677,215121,24293,9349,5464,12731,2948,8285,14322,43483,38680,44021,8951,1070,1091,365,48,20
"2021","Norfolk","E10000020",916119,827681,88438,13597,4125,2451,4964,1085,3043,5372,14852,13602,19143,5053,529,458,144,13,7
"2021","Suffolk","E10000029",760684,679542,81142,12308,4001,2323,4641,961,2490,5000,14056,13006,17212,4159,438,386,125,27,9
"2021","Camden","E09000007",210136,114647,95489,7617,3072,1843,4405,1133,4592,7503,19464,18776,21400,4456,515,550,135,24,4
"2021","City of London","E09000001",8582,4327,4255,183,64,34,144,54,214,375,1021,978,893,247,21,23,2,1,1
"2021","Hackney","E09000012",259145,156219,102926,7771,3395,2230,5665,1402,4182,7103,22808,22258,21243,3837,424,453,127,21,7
"2021","Hammersmith and Fulham","E09000013",183158,99818,83340,6568,2593,1617,3947,1096,3187,5141,17402,17552,19073,4088,439,462,147,19,9
"2021","Haringey","E09000014",264238,143117,121121,9006,4218,2663,6979,1745,4780,8016,24634,23045,27958,6644,625,613,177,14,4
"2021","Islington","E09000019",216589,130213,86376,5992,2419,1574,4041,1105,4018,6344,19507,20466,17465,2654,343,332,100,10,6
"2021","Kensington and Chelsea","E09000020",143376,66063,77313,5762,2283,1361,3630,987,3282,4559,13915,13682,19530,6709,698,654,227,24,10
"2021","Lambeth","E09000022",317651,195091,122560,8871,4103,2865,7392,1874,5381,8042,26009,24612,26237,5718,650,559,198,36,13
"2021","Lewisham","E09000023",300557,193483,107074,8409,4086,2934,6893,1654,4410,6965,21292,20912,23768,4515,515,512,183,20,6
"2021","Newham","E09000025",351035,162447,188588,14676,7281,4762,11883,2886,7049,12513,37505,33964,43815,9992,1021,945,251,35,10
"2021","Southwark","E09000028",307635,182392,125243,8780,3777,2552,6829,1782,5657,8699,26637,25750,27558,5758,622,592,194,31,25
"2021","Tower Hamlets","E09000030",310306,165081,145225,10954,5236,3458,8335,1966,6308,12375,33419,30160,26987,4698,577,566,160,17,9
"2021","Wandsworth","E09000032",327506,203322,124184,10502,4184,2677,6185,1443,4244,7249,26112,26805,27323,5641,745,784,246,34,10
"2021","Westminster","E09000033",204235,90702,113533,7353,3175,2096,5301,1489,5121,7639,21978,22340,27059,7770,941,937,275,49,10
"2021","Barking and Dagenham","E09000002",218869,128483,90386,8173,4012,2591,6217,1363,3347,5238,16947,15902,21119,4388,492,468,112,13,4
"2021","Barnet","E09000003",389344,221293,168051,14741,6278,3926,9956,2519,6969,10911,32861,30557,38384,8346,1069,1154,312,50,18
"2021","Bexley","E09000004",246472,194714,51758,4939,2036,1381,3341,818,2097,3069,10136,9719,11349,2157,294,313,98,9,2
"2021","Brent","E09000005",339816,149239,190577,13627,7099,4883,12751,3060,8223,13013,37353,33461,43549,10742,1173,1234,347,48,14
"2021","Bromley","E09000006",329990,263052,66938,7054,2632,1567,3654,880,2420,3794,12960,13736,14766,2529,378,428,115,20,5
"2021","Croydon","E09000008",390719,254536,136183,11811,5819,4018,10163,2627,5868,8243,25870,24037,29274,6545,775,801,289,32,11
"2021","Ealing","E09000009",367114,180561,186553,14583,7272,4727,11703,2667,7063,11700,36158,33659,43191,10618,1368,1454,340,40,10
"2021","Enfield","E09000010",329986,196824,133162,12151,6267,4199,10481,2637,6487,8952,25391,21014,27453,6320,791,754,224,34,7
"2021","Greenwich","E09000011",289068,180578,108490,8763,3839,2361,6322,1590,4247,6842,20040,21392,25817,5378,771,911,194,17,6
"2021","Harrow","E09000015",261205,127612,133593,11108,5835,3895,9656,2212,5929,9054,25254,22438,28801,6810,1001,1173,371,46,10
"2021","Havering","E09000016",262049,211166,50883,4801,2097,1351,3226,798,1980,3416,10589,9544,10100,2286,325,271,92,6,1
"2021","Hillingdon","E09000017",305904,188260,117644,10385,4970,3119,7926,1968,5177,7573,23086,20613,24737,6135,778,922,221,29,5
"2021","Hounslow","E09000018",288179,145556,142623,11398,5356,3607,8478,1976,5130,7673,27221,26223,34220,8670,1106,1218,302,39,6
"2021","Kingston upon Thames","E09000021",168062,111412,56650,5398,2304,1454,3306,719,2009,3267,10172,10165,13646,3258,388,426,117,18,3
"2021","Merton","E09000024",215187,127245,87942,6906,3069,1930,4765,1102,2922,4968,17963,17570,20747,4649,540,609,180,17,5
"2021","Redbridge","E09000026",310259,174963,135296,13605,6376,4084,9070,1905,5020,8471,26452,23882,28842,5713,765,815,267,22,7
"2021","Richmond upon Thames","E09000027",195275,139053,56222,6718,2396,1388,2810,561,1662,2608,9168,9968,14662,3384,320,403,144,24,6
"2021","Sutton","E09000029",209638,151447,58191,5482,2200,1379,3194,726,2084,3261,11549,11612,13140,2583,361,487,119,11,3
"2021","Waltham Forest","E09000031",278428,171070,107358,8316,3916,2656,6582,1559,3944,7024,22942,20819,23364,5080,473,500,160,20,3
"2021","Bracknell Forest","E06000036",124606,102964,21642,2646,947,584,1230,290,627,1212,4027,3753,4800,1125,163,185,50,3,0
"2021","Brighton and Hove","E06000043",277106,222760,54346,6120,2069,1250,2964,764,2562,4524,10718,9363,10830,2540,252,281,72,35,2
"2021","Isle of Wight","E06000046",140459,131851,8608,1733,457,277,507,103,232,391,1206,1084,1826,546,95,108,37,6,0
"2021","Medway","E06000035",279773,241119,38654,4891,1821,1146,2619,575,1408,2370,7309,6607,7913,1553,190,181,65,5,1
"2021","Milton Keynes","E06000042",287058,213215,73843,8129,3243,2031,4325,882,2367,3924,13370,13643,17373,3662,393,396,95,10,0
"2021","Portsmouth","E06000044",208004,172763,35241,4687,1593,991,2219,523,1376,2666,6280,5907,7172,1480,145,160,38,3,1
"2021","Reading","E06000038",174223,115894,58329,5121,2112,1338,3194,720,2008,3439,10496,10971,14274,3359,517,612,153,13,2
"2021","Slough","E06000039",158498,88806,69692,6565,2899,1793,4379,982,2472,4269,14270,12659,15212,3321,377,372,106,14,2
"2021","Southampton","E06000045",248922,188823,60099,5986,2307,1445,3260,721,2218,4712,12551,10880,12604,2828,277,230,70,6,4
"2021","West Berkshire","E06000037",161448,141996,19452,3119,873,520,1107,207,572,944,3230,3158,4374,1072,127,113,30,5,1
"2021","Windsor and Maidenhead","E06000040",153494,120245,33249,4326,1504,877,2003,382,1016,1810,5748,5454,7731,1879,218,225,65,6,5
"2021","Wokingham","E06000041",177501,143891,33610,4771,1552,948,1891,341,920,1528,5732,6219,8001,1355,149,162,34,6,1
"2021","Buckinghamshire","E06000060",553078,461030,92048,12561,4207,2619,5643,1248,3200,5864,17706,15762,18027,3965,496,545,173,21,11
"2021","East Sussex","E10000011",545850,492025,53825,8275,2587,1528,3363,769,1906,2971,8727,8074,11329,3273,435,425,133,23,7
"2021","Hampshire","E10000014",1400900,1250772,150128,26257,7221,4263,9099,1834,4705,7862,24012,22914,30015,8157,1458,1870,403,39,19
"2021","Kent","E10000016",1576072,1381983,194089,26293,8662,5347,11736,2702,7372,11914,35411,31820,39627,9790,1358,1591,400,54,12
"2021","Oxfordshire","E10000025",725291,589576,135715,16307,5314,3186,7269,1518,4457,8288,26399,24526,29709,6916,807,763,203,45,8
"2021","Surrey","E10000030",1203110,987483,215627,27090,9500,5830,13146,2700,7755,12664,38685,36613,46627,11514,1426,1523,456,72,26
"2021","West Sussex","E10000032",882676,768754,113922,15447,5033,3040,6825,1456,3902,6525,20624,18836,24164,6346,742,723,223,26,10
"2021","Bath and North East Somerset","E06000022",193407,170090,23317,3622,1098,617,1491,285,1345,2023,3852,3413,4162,1146,129,98,23,8,5
"2021","Bristol, City of","E06000023",472464,383497,88967,10151,3861,2292,5271,1170,3859,6462,17397,15984,18104,3555,373,375,95,15,3
"2021","Cornwall","E06000052",570304,540148,30156,7057,1720,946,1757,300,859,1730,4269,3927,5528,1620,193,182,52,12,4
"2021","Isles of Scilly","E06000053",2053,1940,113,17,2,3,5,0,3,4,15,33,23,6,1,1,0,0,0
"2021","North Somerset","E06000024",216726,198533,18193,3069,846,512,1011,196,531,988,3067,2771,3978,959,135,97,28,1,4
"2021","Plymouth","E06000026",264697,240345,24352,4569,1261,735,1538,344,906,1490,3796,3396,4989,1103,109,85,25,2,4
"2021","Bournemouth, Christchurch and Poole","E06000058",400196,338248,61948,7638,2536,1539,3308,675,2059,3955,11982,10666,13436,3235,381,402,114,16,6
"2021","South Gloucestershire","E06000025",290420,259756,30664,4261,1296,794,1734,363,1027,1961,5772,5411,6455,1318,119,123,26,2,2
"2021","Swindon","E06000030",233410,185756,47654,5648,1958,1239,2799,671,1475,2219,7536,7811,12117,3273,401,407,93,3,4
"2021","Torbay","E06000027",139323,129424,9899,1676,461,279,569,130,314,459,1525,1468,2123,696,82,89,23,3,2
"2021","Wiltshire","E06000054",510334,459802,50532,11440,2771,1512,3043,547,1542,2900,7956,7055,8669,2382,317,311,73,12,2
"2021","Devon","E10000008",811642,753788,57854,11580,3061,1760,3564,627,2160,3642,9168,7773,10671,2925,395,403,103,14,8
"2021","Dorset","E06000059",379578,354852,24726,5902,1493,817,1714,312,817,1352,3343,2989,4177,1340,184,225,53,5,3
"2021","Gloucestershire","E10000013",645075,580562,64513,11043,3116,1873,4106,825,2028,3651,10634,9707,13046,3589,395,347,133,8,12
"2021","Somerset","E10000027",571547,522751,48796,8548,2434,1413,3046,597,1467,2449,7567,7063,10332,3093,376,303,84,21,3
"2021","Isle of Anglesey","W06000001",68880,66583,2297,583,158,84,129,30,76,109,325,252,414,104,14,12,5,1,1
"2021","Gwynedd","W06000002",117393,111034,6359,934,275,143,329,57,264,577,1214,936,1263,303,25,29,9,0,1
"2021","Conwy","W06000003",114743,108801,5942,1111,301,159,380,75,186,275,880,846,1264,363,45,43,10,3,1
"2021","Denbighshire","W06000004",95814,91306,4508,861,271,135,318,94,184,185,614,559,996,213,28,38,9,3,0
"2021","Flintshire","W06000005",154962,144952,10010,1705,450,248,553,100,271,529,1832,1553,2023,628,56,49,11,1,1
"2021","Wrexham","W06000006",135117,124476,10641,1431,489,254,579,129,266,600,1901,1663,2492,694,70,53,16,2,2
"2021","Powys","W06000023",133171,126711,6460,1333,313,197,387,71,183,371,1027,802,1213,414,69,67,10,2,1
