date,geography,geography code,Year of arrival in the UK: Total: All usual residents; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,Year of arrival in the UK: Arrived before 1951; measures: Value,Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value
2021,Salford 027,E02001183,7327,5980,2,13,43,27,46,75,365,139,291,272,74
2021,Salford 029,E02001185,9698,9041,12,37,32,29,33,35,202,77,98,68,34
2021,Salford 030,E02001186,10556,9841,7,25,42,34,32,51,243,75,91,83,32
2021,Salford 031,E02006957,8281,5129,5,29,47,34,72,206,865,377,574,730,213
2021,Salford 032,E02006958,8074,5110,6,23,39,27,35,157,905,352,407,639,374
2021,Salford 033,E02006959,8024,5060,0,7,18,22,19,129,562,313,570,811,513
2021,Salford 034,E02006960,9328,6565,2,13,14,50,59,114,689,309,439,615,459
2021,Salford 035,E02006961,6669,4531,4,9,17,26,16,112,551,272,438,403,290
2021,Salford 036,E02006962,5123,3769,0,8,20,13,15,74,332,160,271,307,154
2021,Salford 037,E02006963,6009,3615,0,13,13,23,31,99,407,209,446,704,449
2021,Stockport 001,E02001187,7005,6481,7,29,51,32,29,66,127,42,50,63,28
2021,Stockport 002,E02001188,8648,7658,6,27,58,32,45,117,287,125,115,139,39
2021,Stockport 003,E02001189,8298,7608,12,63,82,51,67,52,142,56,62,76,27
2021,Stockport 004,E02001190,7960,7108,2,9,22,25,26,61,272,129,132,138,36
2021,Stockport 005,E02001191,5741,5508,4,13,24,22,16,51,51,17,21,13,1
2021,Stockport 006,E02001192,6555,5730,15,44,74,93,58,76,151,57,104,119,34
2021,Stockport 007,E02001193,6410,5702,5,30,30,23,39,61,169,75,104,137,35
2021,Stockport 008,E02001194,6376,5577,17,49,91,91,79,104,145,59,69,72,23
2021,Stockport 009,E02001195,7552,7204,10,19,26,50,18,21,100,35,36,21,12
2021,Stockport 010,E02001196,7833,7522,8,20,41,34,25,21,87,11,23,35,6
2021,Stockport 011,E02001197,6278,5569,4,26,60,65,75,84,188,57,46,66,38
2021,Stockport 012,E02001198,7522,7155,11,19,22,21,23,29,133,20,40,38,11
2021,Stockport 013,E02001199,7905,6650,15,53,153,148,129,179,240,78,127,86,47
2021,Stockport 014,E02001200,7889,6456,7,28,44,31,53,117,338,137,243,285,150
2021,Stockport 015,E02001201,5788,5540,2,17,17,16,20,20,62,12,42,25,15
2021,Stockport 016,E02001202,6457,5635,6,14,27,24,56,60,181,75,142,167,70
2021,Stockport 017,E02001203,5862,5634,6,18,45,24,15,30,51,8,14,11,6
2021,Stockport 018,E02001204,8924,8239,9,20,42,52,37,76,184,61,86,93,25
2021,Stockport 019,E02001205,8433,7795,4,20,33,32,49,58,169,49,91,101,32
2021,Stockport 020,E02001206,7271,6894,7,32,31,22,33,33,96,19,19,71,14
2021,Stockport 021,E02001207,6850,6535,8,24,26,37,37,33,74,14,18,29,15
2021,Stockport 022,E02001208,7571,6934,10,41,52,37,40,74,181,57,44,79,22
2021,Stockport 023,E02001209,7767,6972,4,30,39,37,43,88,197,83,92,139,43
2021,Stockport 024,E02001210,7436,6924,3,17,28,35,26,44,180,31,52,77,19
2021,Stockport 025,E02001211,6665,5762,10,31,75,90,86,125,240,78,68,85,15
2021,Stockport 026,E02001212,6987,6096,4,12,29,44,51,90,334,93,113,96,25
2021,Stockport 027,E02001213,9918,9029,7,32,54,55,52,72,212,56,75,167,107
2021,Stockport 028,E02001214,8019,6551,28,52,170,217,121,186,381,79,59,125,50
2021,Stockport 029,E02001215,5971,5731,3,20,20,19,26,29,59,16,18,25,5
2021,Stockport 030,E02001216,7840,7004,15,36,72,85,78,110,154,80,62,110,34
2021,Stockport 031,E02001217,6757,5981,14,12,30,32,28,73,215,34,115,146,77
2021,Stockport 032,E02001218,6021,5350,5,20,73,94,52,111,166,49,33,56,12
2021,Stockport 033,E02001219,5283,4957,10,23,45,37,26,28,84,22,28,19,4
2021,Stockport 034,E02001220,5675,5031,7,21,50,57,76,88,180,38,50,57,20
2021,Stockport 035,E02001221,5866,5577,7,19,34,31,24,37,70,20,26,16,5
2021,Stockport 036,E02001222,6474,5383,9,36,110,125,107,166,296,67,47,80,48
2021,Stockport 037,E02001223,6664,5959,15,31,80,96,58,88,143,46,48,73,27
2021,Stockport 038,E02001224,5782,5519,12,24,28,35,18,29,54,13,25,17,8
2021,Stockport 039,E02001225,7375,6781,13,31,62,52,60,69,149,26,55,60,17
2021,Stockport 040,E02001226,7178,6101,8,30,91,100,77,137,308,76,96,104,50
2021,Stockport 041,E02001227,5689,5287,9,36,39,41,33,55,79,23,21,28,38
2021,Stockport 042,E02001228,6259,5791,9,25,46,42,40,59,114,26,50,39,18
2021,Tameside 001,E02001229,10311,9791,2,28,50,24,30,53,110,53,75,65,30
2021,Tameside 002,E02001230,5874,4987,8,22,208,146,65,76,156,54,58,77,17
2021,Tameside 003,E02001231,7102,6786,2,17,24,26,31,20,93,23,31,38,11
2021,Tameside 004,E02001232,8692,7079,3,18,102,111,68,111,471,130,153,313,133
2021,Tameside 005,E02001233,7993,6991,4,25,126,79,58,82,285,91,126,94,32
2021,Tameside 006,E02001234,7944,6588,6,18,67,54,60,97,399,140,188,244,83
2021,Tameside 007,E02001235,7215,6004,3,24,118,76,69,99,277,104,146,218,77
2021,Tameside 008,E02001236,6114,5509,4,11,45,24,28,33,132,69,91,143,25
2021,Tameside 009,E02001237,7218,6821,3,11,23,22,26,31,142,24,50,46,19
2021,Tameside 010,E02001238,7992,7370,6,24,48,31,39,67,165,54,83,76,29
2021,Tameside 011,E02001239,9536,8391,3,25,41,35,33,105,345,147,167,137,107
2021,Tameside 012,E02001240,6383,5651,0,16,33,25,26,54,234,89,113,115,27
2021,Tameside 013,E02001241,11205,7559,1,32,155,156,162,305,1092,365,578,596,204
2021,Tameside 014,E02001242,7054,6387,5,31,52,38,43,76,220,45,60,68,29
2021,Tameside 015,E02001243,8236,7715,5,24,62,61,51,47,90,37,69,54,21
2021,Tameside 016,E02001244,5407,5145,4,20,46,28,17,22,56,14,22,16,17
2021,Tameside 017,E02001245,8042,7374,9,20,43,49,32,49,186,60,90,72,58
2021,Tameside 018,E02001246,7440,6968,3,19,34,24,35,46,186,41,40,26,18
2021,Tameside 019,E02001247,7418,6737,6,23,34,33,25,42,194,116,88,102,18
2021,Tameside 020,E02001248,11982,11030,9,27,42,56,82,92,283,77,118,141,25
2021,Tameside 021,E02001249,6371,5759,7,17,41,35,16,50,152,79,108,71,36
2021,Tameside 022,E02001250,6478,6166,3,20,31,32,25,39,71,28,27,25,11
2021,Tameside 023,E02001251,6095,5809,7,13,33,30,21,32,82,23,14,27,4
2021,Tameside 024,E02001252,7539,7124,1,37,45,33,23,30,125,19,43,31,28
2021,Tameside 025,E02001253,5011,4722,3,13,22,19,20,29,84,19,34,33,13
2021,Tameside 026,E02001254,5636,5335,6,21,25,14,16,29,89,20,22,49,10
2021,Tameside 027,E02001255,7682,7093,6,23,24,18,21,39,203,70,117,53,15
2021,Tameside 028,E02001256,10546,8629,3,31,86,146,333,252,422,113,221,249,61
2021,Tameside 029,E02001257,9119,8545,12,28,34,31,26,47,187,32,80,85,12
2021,Tameside 030,E02001258,7437,7135,4,19,28,32,22,37,76,16,25,37,6
2021,Trafford 001,E02001259,11725,7529,15,138,329,229,216,512,1140,309,494,570,244
2021,Trafford 002,E02001260,7581,6999,7,45,75,45,43,61,159,36,39,46,26
2021,Trafford 003,E02001261,8879,6996,19,72,122,83,89,175,540,149,254,247,133
2021,Trafford 004,E02001262,8673,6229,25,169,371,259,215,276,483,132,207,217,90
2021,Trafford 005,E02001263,8392,7850,7,48,38,42,29,70,125,44,37,66,36
2021,Trafford 006,E02001264,8653,7329,12,55,130,91,75,145,429,94,104,139,50
2021,Trafford 007,E02001265,8196,7733,5,54,47,39,29,45,130,32,33,33,16
2021,Trafford 008,E02001266,6922,6023,7,41,82,59,59,100,304,81,71,67,28
2021,Trafford 009,E02001267,7248,6716,12,54,57,37,37,48,128,22,38,54,45
2021,Trafford 010,E02001268,7037,6656,17,35,41,39,36,46,87,14,33,24,9
2021,Trafford 011,E02001269,8358,6929,15,87,126,112,93,141,413,140,111,136,55
2021,Trafford 012,E02001270,8551,7403,10,37,58,54,73,124,279,78,157,184,94
2021,Trafford 013,E02001271,6644,6017,17,36,42,33,47,58,195,41,62,63,33
