date,geography,geography code,Population Density: Persons per square kilometre; measures: Value
2021,Bolton 031B,E01004895,5015.1
2021,Bolton 031C,E01004936,3596.3
2021,Bolton 031D,E01004938,5358.3
2021,Bolton 031E,E01004939,2348.4
2021,Bolton 032A,E01004858,4954.7
2021,Bolton 032B,E01004859,4419.0
2021,Bolton 032C,E01004860,5003.4
2021,Bolton 032D,E01004902,4200.6
2021,Bolton 032E,E01004906,2874.8
2021,Bolton 033A,E01004861,3964.4
2021,Bolton 033B,E01004862,5167.3
2021,Bolton 033C,E01004863,5549.3
2021,Bolton 033D,E01004874,5607.0
2021,Bolton 033E,E01004876,5003.8
2021,Bolton 034A,E01004903,2706.5
2021,Bolton 034B,E01004904,866.3
2021,Bolton 034C,E01004905,4640.9
2021,Bolton 034D,E01004907,4053.2
2021,Bolton 034E,E01004908,646.4
2021,Bolton 034F,E01004909,3935.2
2021,Bolton 034G,E01004910,1891.5
2021,Bolton 035A,E01004933,1717.4
2021,Bolton 035B,E01004934,1334.0
2021,Bolton 035C,E01004935,3896.5
2021,Bolton 035D,E01004937,786.9
2021,Bolton 035E,E01004940,5609.6
2021,Bury 001A,E01005014,2445.3
2021,Bury 001B,E01005015,745.5
2021,Bury 001C,E01005016,3940.9
2021,Bury 001D,E01005017,1550.7
2021,Bury 001E,E01005018,3478.5
2021,Bury 001F,E01005021,180.7
2021,Bury 002A,E01005019,2954.2
2021,Bury 002B,E01005023,3258.5
2021,Bury 002C,E01005046,3062.3
2021,Bury 002D,E01005048,2020.7
2021,Bury 003A,E01005020,2848.8
2021,Bury 003B,E01005022,485.5
2021,Bury 003C,E01005047,225.1
2021,Bury 003D,E01005049,1180.3
2021,Bury 003E,E01005051,2411.8
2021,Bury 004A,E01004976,4722.1
2021,Bury 004B,E01004977,3896.9
2021,Bury 004C,E01004978,5242.8
2021,Bury 004D,E01004981,563.6
2021,Bury 004E,E01004982,1112.5
2021,Bury 005A,E01004961,3940.2
2021,Bury 005B,E01004965,1344.3
2021,Bury 005C,E01004966,2798.6
2021,Bury 005D,E01004967,3117.8
2021,Bury 006A,E01004963,2698.6
2021,Bury 006B,E01004968,4945.1
2021,Bury 006C,E01005050,3694.6
2021,Bury 006D,E01005052,6059.7
2021,Bury 006E,E01005053,2107.4
2021,Bury 007A,E01004954,1125.4
2021,Bury 007B,E01004955,3211.1
2021,Bury 007C,E01004956,1174.2
2021,Bury 007D,E01004957,2717.5
2021,Bury 007E,E01004960,4386.7
2021,Bury 008A,E01004958,5937.0
2021,Bury 008B,E01004959,7871.1
2021,Bury 008C,E01004979,2672.2
2021,Bury 008D,E01004980,7384.5
2021,Bury 008E,E01005024,3472.3
2021,Bury 008F,E01005026,9339.9
2021,Bury 009A,E01004947,7604.5
2021,Bury 009B,E01004948,1968.0
2021,Bury 009C,E01004962,6786.8
2021,Bury 009D,E01004964,4626.5
2021,Bury 010A,E01004949,3358.7
2021,Bury 010B,E01004950,1090.0
2021,Bury 010C,E01004951,5380.4
2021,Bury 010D,E01004952,3842.4
2021,Bury 010E,E01004953,3173.3
2021,Bury 011A,E01005025,1984.6
2021,Bury 011B,E01005027,2709.9
2021,Bury 011C,E01005028,7744.3
2021,Bury 011D,E01005029,7959.1
2021,Bury 012A,E01005000,1293.0
2021,Bury 012B,E01005001,5363.0
2021,Bury 012C,E01005005,405.0
2021,Bury 012D,E01005006,1140.6
2021,Bury 013A,E01005030,4610.2
2021,Bury 013B,E01005054,459.2
2021,Bury 013C,E01005059,2978.7
2021,Bury 013D,E01005060,1885.4
2021,Bury 014A,E01004997,5575.5
2021,Bury 014B,E01004998,3276.6
2021,Bury 014C,E01004999,753.9
2021,Bury 014D,E01005002,6151.0
2021,Bury 014E,E01005003,9476.7
2021,Bury 015A,E01004991,1968.9
2021,Bury 015B,E01004992,1875.5
2021,Bury 015C,E01004993,3689.0
2021,Bury 015D,E01004994,2009.3
2021,Bury 016A,E01004990,5729.8
2021,Bury 016B,E01004996,6259.3
2021,Bury 016C,E01005004,5364.0
2021,Bury 016D,E01005008,4998.8
2021,Bury 016E,E01005009,3526.4
2021,Bury 017A,E01004945,401.5
2021,Bury 017B,E01005055,3791.6
2021,Bury 017C,E01005056,2994.4
2021,Bury 017D,E01005057,2763.0
2021,Bury 017E,E01005058,5045.0
2021,Bury 018A,E01004995,1445.2
2021,Bury 018B,E01005010,632.4
2021,Bury 018C,E01005012,2401.5
2021,Bury 018D,E01005013,5186.9
2021,Bury 019A,E01004984,5552.5
2021,Bury 019B,E01004985,393.4
2021,Bury 019C,E01004989,3755.3
2021,Bury 019D,E01005007,2545.1
2021,Bury 019E,E01005011,2540.8
2021,Bury 020A,E01004983,3948.1
2021,Bury 020B,E01004986,1773.1
2021,Bury 020C,E01004987,4770.6
2021,Bury 020D,E01004988,3155.9
2021,Bury 021A,E01004941,3746.2
2021,Bury 021B,E01004942,7602.9
2021,Bury 021C,E01004943,6048.7
2021,Bury 021D,E01004944,6342.0
2021,Bury 021E,E01004946,4335.1
2021,Bury 022A,E01004969,578.2
2021,Bury 022B,E01004970,2870.3
2021,Bury 022C,E01004971,6006.5
2021,Bury 022D,E01005034,2771.5
2021,Bury 023A,E01004972,7753.0
2021,Bury 023B,E01004973,7321.0
2021,Bury 023C,E01004975,6890.5
2021,Bury 023D,E01005039,5698.3
2021,Bury 023E,E01005045,5157.7
2021,Bury 024A,E01004974,4954.4
2021,Bury 024B,E01005033,3507.1
2021,Bury 024C,E01005036,4795.5
2021,Bury 024D,E01005037,5353.2
2021,Bury 025A,E01005031,4070.6
2021,Bury 025B,E01005032,1609.3
2021,Bury 025C,E01005035,698.1
2021,Bury 025D,E01005038,5397.8
2021,Bury 026A,E01005040,7254.8
2021,Bury 026B,E01005041,5603.5
2021,Bury 026C,E01005042,5877.7
2021,Bury 026D,E01005043,8753.4
2021,Bury 026E,E01005044,13638.9
2021,Manchester 001A,E01005098,4860.0
2021,Manchester 001B,E01005099,3027.9
2021,Manchester 001C,E01005100,2038.4
2021,Manchester 001D,E01005102,7569.1
2021,Manchester 001E,E01005103,4085.6
2021,Manchester 002A,E01005101,4570.1
2021,Manchester 002B,E01005135,6414.6
2021,Manchester 002C,E01005136,4337.8
2021,Manchester 002D,E01005138,5413.7
2021,Manchester 002F,E01034107,3084.3
2021,Manchester 002G,E01034108,4072.3
2021,Manchester 003B,E01005139,5530.2
2021,Manchester 003C,E01005141,2923.6
2021,Manchester 003D,E01005251,5597.1
2021,Manchester 003E,E01005252,7246.4
2021,Manchester 003F,E01033685,4810.4
2021,Manchester 003G,E01033687,3209.7
2021,Manchester 004A,E01005104,3715.9
2021,Manchester 004B,E01005160,579.4
2021,Manchester 004C,E01005161,6441.8
2021,Manchester 004D,E01005162,6593.7
2021,Manchester 004E,E01005163,7426.2
2021,Manchester 005A,E01005247,5918.4
2021,Manchester 005B,E01005248,3804.8
2021,Manchester 005C,E01005249,3012.3
2021,Manchester 005D,E01005250,6983.4
2021,Manchester 005E,E01005253,6250.0
2021,Manchester 005F,E01005254,6609.1
2021,Manchester 006A,E01005164,3776.0
2021,Manchester 006B,E01005205,4728.3
2021,Manchester 006C,E01005206,5570.4
2021,Manchester 006D,E01005207,8020.7
2021,Manchester 007A,E01005223,8271.1
2021,Manchester 007B,E01005224,7349.1
2021,Manchester 007C,E01005225,8071.7
2021,Manchester 007D,E01005226,8964.4
2021,Manchester 007E,E01005229,3775.8
2021,Manchester 008A,E01005145,15681.5
2021,Manchester 008C,E01005149,14979.4
2021,Manchester 008D,E01005165,6231.4
2021,Manchester 008E,E01005166,7783.4
2021,Manchester 008F,E01005167,5413.9
2021,Manchester 008G,E01034109,6448.2
2021,Manchester 008H,E01034110,4080.1
2021,Manchester 009A,E01005202,2922.0
2021,Manchester 009B,E01005203,3146.3
2021,Manchester 009D,E01005227,11324.3
2021,Manchester 009E,E01005228,5712.1
2021,Manchester 009F,E01033678,4941.6
2021,Manchester 009G,E01033679,4123.4
2021,Manchester 011A,E01005256,3301.7
2021,Manchester 011B,E01005257,1162.3
2021,Manchester 011C,E01005258,6025.5
2021,Manchester 011D,E01005259,7393.7
2021,Manchester 011E,E01005260,4080.0
2021,Manchester 012A,E01005093,5924.7
2021,Manchester 012B,E01005094,4126.2
2021,Manchester 012C,E01005097,3742.1
2021,Manchester 012D,E01005255,5039.4
2021,Manchester 012E,E01005261,7132.6
2021,Manchester 015A,E01005092,7513.5
2021,Manchester 015C,E01005105,5247.6
2021,Manchester 015D,E01005106,2268.7
2021,Manchester 015E,E01005107,2812.3
2021,Manchester 015F,E01033668,3705.8
2021,Manchester 015G,E01033669,1782.0
2021,Manchester 017D,E01005189,4503.7
2021,Manchester 017E,E01005190,11051.0
2021,Manchester 017G,E01034111,5252.4
2021,Manchester 017H,E01034112,5784.4
2021,Manchester 017I,E01034113,3333.3
2021,Manchester 017J,E01034114,7162.6
2021,Manchester 018A,E01005061,2077.9
2021,Manchester 018C,E01005063,7444.6
2021,Manchester 018D,E01005065,3295.4
2021,Manchester 018E,E01005066,5493.5
2021,Manchester 018F,E01034115,3653.5
2021,Manchester 018G,E01034116,16072.5
2021,Manchester 019A,E01005208,6079.2
2021,Manchester 019C,E01005210,12175.7
2021,Manchester 019D,E01005214,9979.1
2021,Manchester 019E,E01034117,4203.9
2021,Manchester 019F,E01034118,3789.8
2021,Manchester 020A,E01005067,5230.7
2021,Manchester 020B,E01005186,3938.0
