date,geography,geography code,Population Density: Persons per square kilometre; measures: Value
2021,Rochdale 007,E02001138,2465.1
2021,Rochdale 008,E02001139,5636.7
2021,Rochdale 009,E02001140,3978.2
2021,Rochdale 010,E02001141,4030.3
2021,Rochdale 011,E02001142,2171.4
2021,Rochdale 012,E02001143,5363.6
2021,Rochdale 013,E02001144,1705.2
2021,Rochdale 014,E02001145,421.4
2021,Rochdale 015,E02001146,6782.4
2021,Rochdale 016,E02001147,2232.7
2021,Rochdale 017,E02001148,1776.6
2021,Rochdale 018,E02001149,4243.3
2021,Rochdale 019,E02001150,1866.8
2021,Rochdale 020,E02001151,1183.9
2021,Rochdale 021,E02001152,1404.5
2021,Rochdale 022,E02001153,2582.6
2021,Rochdale 023,E02001154,4749.2
2021,Rochdale 024,E02001155,2243.9
2021,Rochdale 025,E02001156,3579.4
2021,Salford 001,E02001157,4248.5
2021,Salford 002,E02001158,5021.1
2021,Salford 003,E02001159,2297.8
2021,Salford 004,E02001160,2820.5
2021,Salford 005,E02001161,2294.5
2021,Salford 006,E02001162,3503.1
2021,Salford 007,E02001163,3194.3
2021,Salford 008,E02001164,1760.0
2021,Salford 009,E02001165,3214.2
2021,Salford 010,E02001166,6448.3
2021,Salford 011,E02001167,3411.8
2021,Salford 012,E02001168,3715.8
2021,Salford 013,E02001169,977.2
2021,Salford 014,E02001170,1551.0
2021,Salford 015,E02001171,5749.3
2021,Salford 017,E02001173,3319.8
2021,Salford 018,E02001174,5628.6
2021,Salford 019,E02001175,4919.3
2021,Salford 020,E02001176,4476.8
2021,Salford 021,E02001177,3782.6
2021,Salford 023,E02001179,7690.7
2021,Salford 024,E02001180,6230.6
2021,Salford 025,E02001181,2004.4
2021,Salford 026,E02001182,6134.1
2021,Salford 027,E02001183,3661.2
2021,Salford 029,E02001185,1117.6
2021,Salford 030,E02001186,776.6
2021,Salford 031,E02006957,11029.8
2021,Salford 032,E02006958,8091.6
2021,Salford 033,E02006959,7895.3
2021,Salford 034,E02006960,4144.4
2021,Salford 035,E02006961,4413.7
2021,Salford 036,E02006962,8898.7
2021,Salford 037,E02006963,6021.1
2021,Stockport 001,E02001187,6472.6
2021,Stockport 002,E02001188,5131.7
2021,Stockport 003,E02001189,3680.8
2021,Stockport 004,E02001190,4043.9
2021,Stockport 005,E02001191,3049.0
2021,Stockport 006,E02001192,4611.8
2021,Stockport 007,E02001193,3235.6
2021,Stockport 008,E02001194,3420.6
2021,Stockport 009,E02001195,1747.1
2021,Stockport 010,E02001196,1065.5
2021,Stockport 011,E02001197,3517.3
2021,Stockport 012,E02001198,2022.1
2021,Stockport 013,E02001199,3783.6
2021,Stockport 014,E02001200,3030.3
2021,Stockport 015,E02001201,3710.1
2021,Stockport 016,E02001202,5525.5
2021,Stockport 017,E02001203,353.3
2021,Stockport 018,E02001204,4477.4
2021,Stockport 019,E02001205,5036.1
2021,Stockport 020,E02001206,1941.6
2021,Stockport 021,E02001207,2026.8
2021,Stockport 022,E02001208,2790.4
2021,Stockport 023,E02001209,5882.9
2021,Stockport 024,E02001210,4797.5
2021,Stockport 025,E02001211,3340.0
2021,Stockport 026,E02001212,4626.3
2021,Stockport 027,E02001213,4039.1
2021,Stockport 028,E02001214,2899.2
2021,Stockport 029,E02001215,1000.8
2021,Stockport 030,E02001216,3062.1
2021,Stockport 031,E02001217,3818.3
2021,Stockport 032,E02001218,1888.8
2021,Stockport 033,E02001219,2695.9
2021,Stockport 034,E02001220,3216.8
2021,Stockport 035,E02001221,3229.3
2021,Stockport 036,E02001222,2778.6
2021,Stockport 037,E02001223,1957.0
2021,Stockport 038,E02001224,856.3
2021,Stockport 039,E02001225,2891.4
2021,Stockport 040,E02001226,2954.1
2021,Stockport 041,E02001227,3241.4
2021,Stockport 042,E02001228,848.0
2021,Tameside 001,E02001229,2023.6
2021,Tameside 002,E02001230,1013.3
2021,Tameside 003,E02001231,973.7
2021,Tameside 004,E02001232,5713.7
2021,Tameside 005,E02001233,3404.9
2021,Tameside 006,E02001234,6053.0
2021,Tameside 007,E02001235,4156.6
2021,Tameside 008,E02001236,4378.4
2021,Tameside 009,E02001237,480.3
2021,Tameside 010,E02001238,3504.3
2021,Tameside 011,E02001239,4947.4
2021,Tameside 012,E02001240,5822.8
2021,Tameside 013,E02001241,3226.8
2021,Tameside 014,E02001242,2320.3
2021,Tameside 015,E02001243,1756.0
2021,Tameside 016,E02001244,3298.8
2021,Tameside 017,E02001245,3059.9
2021,Tameside 018,E02001246,4497.5
2021,Tameside 019,E02001247,4316.8
2021,Tameside 020,E02001248,4051.3
2021,Tameside 021,E02001249,4436.6
2021,Tameside 022,E02001250,1648.8
2021,Tameside 023,E02001251,745.2
2021,Tameside 024,E02001252,3099.9
2021,Tameside 025,E02001253,1640.3
2021,Tameside 026,E02001254,4199.8
2021,Tameside 027,E02001255,2188.2
2021,Tameside 028,E02001256,4510.2
2021,Tameside 029,E02001257,3619.7
2021,Tameside 030,E02001258,1281.8
2021,Trafford 001,E02001259,6566.9
2021,Trafford 002,E02001260,1130.6
2021,Trafford 003,E02001261,4169.2
2021,Trafford 004,E02001262,5396.0
2021,Trafford 005,E02001263,2337.9
2021,Trafford 006,E02001264,2163.3
2021,Trafford 007,E02001265,2375.5
2021,Trafford 008,E02001266,2028.7
2021,Trafford 009,E02001267,2717.6
2021,Trafford 010,E02001268,3676.0
2021,Trafford 011,E02001269,3414.0
2021,Trafford 012,E02001270,4270.2
2021,Trafford 013,E02001271,2855.4
2021,Trafford 014,E02001272,3545.4
2021,Trafford 015,E02001273,5084.0
2021,Trafford 016,E02001274,4041.5
2021,Trafford 017,E02001275,681.1
2021,Trafford 018,E02001276,3448.9
2021,Trafford 019,E02001277,3113.9
2021,Trafford 020,E02001278,5583.8
2021,Trafford 021,E02001279,4803.5
2021,Trafford 022,E02001280,4676.6
2021,Trafford 023,E02001281,3114.5
2021,Trafford 024,E02001282,5353.4
2021,Trafford 025,E02001283,435.0
2021,Trafford 026,E02001284,3896.9
2021,Trafford 027,E02001285,1935.8
2021,Trafford 028,E02001286,1171.2
2021,Wigan 001,E02001287,1359.4
2021,Wigan 002,E02001288,1377.7
2021,Wigan 003,E02001289,1363.9
2021,Wigan 004,E02001290,432.7
2021,Wigan 005,E02001291,3167.9
2021,Wigan 006,E02001292,3423.3
2021,Wigan 007,E02001293,1081.8
2021,Wigan 008,E02001294,4700.0
2021,Wigan 009,E02001295,5516.0
2021,Wigan 010,E02001296,2670.6
2021,Wigan 011,E02001297,1818.9
2021,Wigan 012,E02001298,1544.8
2021,Wigan 013,E02001299,1889.8
2021,Wigan 014,E02001300,4714.0
2021,Wigan 015,E02001301,2678.6
2021,Wigan 016,E02001302,4453.7
2021,Wigan 017,E02001303,3948.9
2021,Wigan 018,E02001304,1189.0
2021,Wigan 019,E02001305,3315.8
2021,Wigan 020,E02001306,2591.3
2021,Wigan 021,E02001307,1878.6
2021,Wigan 022,E02001308,2682.1
2021,Wigan 023,E02001309,1690.0
2021,Wigan 024,E02001310,1404.6
2021,Wigan 025,E02001311,2213.3
2021,Wigan 026,E02001312,1085.3
2021,Wigan 027,E02001313,3007.9
2021,Wigan 028,E02001314,3669.7
2021,Wigan 029,E02001315,530.9
2021,Wigan 030,E02001316,6193.1
2021,Wigan 031,E02001317,2429.3
2021,Wigan 032,E02001318,1839.5
2021,Wigan 033,E02001319,1840.8
2021,Wigan 034,E02001320,2533.3
2021,Wigan 035,E02001321,1510.1
2021,Wigan 036,E02001322,3748.6
2021,Wigan 037,E02001323,1991.0
2021,Wigan 038,E02001324,2934.3
2021,Wigan 039,E02001325,986.4
2021,Wigan 040,E02001326,1345.8
2021,Birmingham 001,E02001827,2786.5
2021,Birmingham 002,E02001828,2218.8
2021,Birmingham 003,E02001829,1687.0
2021,Birmingham 004,E02001830,738.3
2021,Birmingham 005,E02001831,4266.2
2021,Birmingham 006,E02001832,2314.3
2021,Birmingham 007,E02001833,3896.0
2021,Birmingham 008,E02001834,5717.8
2021,Birmingham 009,E02001835,3589.3
2021,Birmingham 010,E02001836,3947.4
2021,Birmingham 011,E02001837,7186.1
2021,Birmingham 012,E02001838,663.5
2021,Birmingham 013,E02001839,3484.1
2021,Birmingham 014,E02001840,6197.9
2021,Birmingham 015,E02001841,2586.8
2021,Birmingham 016,E02001842,5689.7
2021,Birmingham 017,E02001843,5302.7
2021,Birmingham 018,E02001844,5054.9
2021,Birmingham 019,E02001845,5789.5
2021,Birmingham 020,E02001846,6238.6
2021,Birmingham 021,E02001847,752.4
2021,Birmingham 022,E02001848,3654.2
2021,Birmingham 023,E02001849,6593.9
2021,Birmingham 024,E02001850,3624.8
2021,Birmingham 025,E02001851,4126.2
2021,Birmingham 026,E02001852,5890.2
2021,Birmingham 029,E02001855,3220.9
2021,Birmingham 030,E02001856,4997.4
2021,Birmingham 031,E02001857,5059.3
2021,Birmingham 032,E02001858,5581.1
2021,Birmingham 033,E02001859,3050.6
2021,Birmingham 034,E02001860,8541.0
2021,Birmingham 035,E02001861,9596.6
2021,Birmingham 036,E02001862,4444.1
2021,Birmingham 037,E02001863,3701.2
2021,Birmingham 039,E02001865,9349.0
2021,Birmingham 040,E02001866,10964.0
2021,Birmingham 041,E02001867,9447.5
2021,Birmingham 042,E02001868,5540.0
2021,Birmingham 043,E02001869,2568.0
2021,Birmingham 044,E02001870,7390.4
2021,Birmingham 045,E02001871,4997.3
2021,Birmingham 046,E02001872,3813.7
2021,Birmingham 047,E02001873,6195.5
2021,Birmingham 048,E02001874,5243.2
2021,Birmingham 049,E02001875,6239.4
2021,Birmingham 050,E02001876,5024.4
2021,Birmingham 051,E02001877,9981.5
2021,Birmingham 052,E02001878,4324.3
2021,Birmingham 053,E02001879,6162.0
2021,Birmingham 054,E02001880,7502.6
2021,Birmingham 055,E02001881,7098.4
2021,Birmingham 056,E02001882,5702.5
2021,Birmingham 057,E02001883,3626.7
2021,Birmingham 058,E02001884,7890.9
2021,Birmingham 060,E02001886,4941.1
2021,Birmingham 062,E02001888,5764.6
2021,Birmingham 063,E02001889,9753.3
2021,Birmingham 064,E02001890,4011.4
2021,Birmingham 066,E02001892,5594.9
2021,Birmingham 067,E02001893,5488.7
2021,Birmingham 069,E02001895,3635.6
2021,Birmingham 070,E02001896,9062.5
2021,Birmingham 071,E02001897,4594.7
2021,Birmingham 072,E02001898,5960.7
2021,Birmingham 073,E02001899,3709.0
2021,Birmingham 074,E02001900,4229.4
2021,Birmingham 075,E02001901,4871.4
2021,Birmingham 076,E02001902,5532.5
2021,Birmingham 077,E02001903,11142.4
2021,Birmingham 078,E02001904,3240.9
2021,Birmingham 079,E02001905,2336.7
2021,Birmingham 080,E02001906,5180.0
2021,Birmingham 081,E02001907,3616.6
2021,Birmingham 082,E02001908,16879.7
2021,Birmingham 083,E02001909,9593.8
2021,Birmingham 084,E02001910,8221.9
2021,Birmingham 085,E02001911,6303.6
2021,Birmingham 087,E02001913,2991.0
2021,Birmingham 088,E02001914,3008.2
2021,Birmingham 089,E02001915,6195.1
2021,Birmingham 090,E02001916,6794.6
2021,Birmingham 092,E02001918,5256.4
2021,Birmingham 093,E02001919,6324.9
2021,Birmingham 094,E02001920,2754.4
2021,Birmingham 095,E02001921,3886.8
2021,Birmingham 096,E02001922,11272.7
2021,Birmingham 097,E02001923,6376.1
2021,Birmingham 098,E02001924,6110.9
2021,Birmingham 099,E02001925,3048.9
2021,Birmingham 100,E02001926,4439.0
2021,Birmingham 101,E02001927,5043.1
2021,Birmingham 102,E02001928,4241.9
2021,Birmingham 103,E02001929,7522.7
2021,Birmingham 104,E02001930,5987.6
2021,Birmingham 105,E02001931,3418.5
2021,Birmingham 106,E02001932,2230.4
2021,Birmingham 107,E02001933,4649.7
2021,Birmingham 108,E02001934,5936.7
2021,Birmingham 109,E02001935,4105.9
2021,Birmingham 110,E02001936,5176.4
2021,Birmingham 111,E02001937,4567.7
2021,Birmingham 112,E02001938,4251.3
2021,Birmingham 113,E02001939,3662.9
2021,Birmingham 115,E02001941,4677.9
2021,Birmingham 116,E02001942,5873.7
2021,Birmingham 117,E02001943,3854.9
2021,Birmingham 118,E02001944,4316.5
2021,Birmingham 119,E02001945,4908.9
2021,Birmingham 120,E02001946,4207.4
2021,Birmingham 121,E02001947,5081.5
2021,Birmingham 122,E02001948,5874.9
2021,Birmingham 123,E02001949,3234.1
2021,Birmingham 124,E02001950,4529.1
2021,Birmingham 125,E02001951,5828.6
2021,Birmingham 126,E02001952,5476.7
2021,Birmingham 127,E02001953,3271.1
2021,Birmingham 128,E02001954,4111.8
2021,Birmingham 129,E02001955,2844.3
2021,Birmingham 130,E02001956,4226.6
2021,Birmingham 131,E02001957,5871.0
2021,Birmingham 132,E02006807,5680.5
2021,Birmingham 133,E02006809,2727.4
2021,Birmingham 134,E02006895,10747.4
2021,Birmingham 135,E02006896,4862.6
2021,Birmingham 136,E02006897,9987.0
2021,Birmingham 137,E02006898,7643.4
2021,Birmingham 138,E02006899,5503.3
2021,Birmingham 139,E02006900,7805.0
2021,Birmingham 141,E02007038,3177.5
2021,Birmingham 142,E02007039,5332.3
2021,Birmingham 143,E02007040,9226.6
2021,Coventry 001,E02001958,3005.9
2021,Coventry 002,E02001959,1614.8
2021,Coventry 004,E02001961,5281.1
2021,Coventry 005,E02001962,5032.1
2021,Coventry 006,E02001963,4811.5
2021,Coventry 007,E02001964,3324.9
2021,Coventry 008,E02001965,3587.6
2021,Coventry 009,E02001966,6270.2
2021,Coventry 010,E02001967,426.0
2021,Coventry 011,E02001968,4999.7
2021,Coventry 012,E02001969,7320.4
2021,Coventry 013,E02001970,3276.1
2021,Coventry 014,E02001971,5613.2
2021,Coventry 015,E02001972,6186.1
2021,Coventry 016,E02001973,6650.3
2021,Coventry 017,E02001974,4628.2
2021,Coventry 018,E02001975,6430.6
2021,Coventry 019,E02001976,2216.0
2021,Coventry 020,E02001977,6812.2
2021,Coventry 021,E02001978,6821.6
2021,Coventry 022,E02001979,4014.6
2021,Coventry 023,E02001980,4220.0
2021,Coventry 024,E02001981,10866.8
