date,geography,geography code,Household deprivation: Total: All households; measures: Value,Household deprivation: Household is not deprived in any dimension; measures: Value,Household deprivation: Household is deprived in one dimension; measures: Value,Household deprivation: Household is deprived in two dimensions; measures: Value,Household deprivation: Household is deprived in three dimensions; measures: Value,Household deprivation: Household is deprived in four dimensions; measures: Value
2021,Manchester 048,E02001092,3856,1569,1305,700,267,15
2021,Manchester 049,E02001093,3919,1482,1293,823,312,9
2021,Manchester 050,E02001094,3943,1250,1335,967,377,14
2021,Manchester 051,E02001095,3741,1305,1273,828,322,13
2021,Manchester 052,E02001096,3425,1330,1142,697,250,6
2021,Manchester 053,E02001097,3527,1262,1209,764,282,10
2021,Manchester 054,E02006902,4357,2521,1262,416,151,7
2021,Manchester 055,E02006912,5027,3279,1327,364,56,1
2021,Manchester 056,E02006913,3186,1515,992,477,194,8
2021,Manchester 057,E02006914,2212,1345,622,177,63,5
2021,Manchester 058,E02006915,3037,1108,1072,611,228,18
2021,Manchester 059,E02006916,3802,2163,1071,388,174,6
2021,Manchester 060,E02006917,3817,2783,887,135,11,1
2021,Manchester 061,E02006983,3230,1577,936,445,255,17
2021,Manchester 062,E02006984,2966,1807,764,289,102,4
2021,Manchester 063,E02006985,2512,764,968,572,197,11
2021,Manchester 064,E02006986,2319,856,816,481,152,14
2021,Oldham 001,E02001098,2730,1185,1037,423,82,3
2021,Oldham 002,E02001099,2651,1095,955,455,139,7
2021,Oldham 003,E02001100,2589,1219,911,365,90,4
2021,Oldham 004,E02001101,2451,1291,790,306,62,2
2021,Oldham 005,E02001102,2528,1294,825,342,64,3
2021,Oldham 006,E02001103,2429,1340,774,268,47,0
2021,Oldham 007,E02001104,2843,1421,934,375,110,3
2021,Oldham 008,E02001105,2675,1191,931,439,112,2
2021,Oldham 009,E02001106,2742,1202,965,448,123,4
2021,Oldham 010,E02001107,2559,1115,916,399,123,6
2021,Oldham 011,E02001108,2355,876,818,487,167,7
2021,Oldham 012,E02001109,3363,1278,1127,688,264,6
2021,Oldham 013,E02001110,2859,1753,848,227,30,1
2021,Oldham 014,E02001111,3436,793,1267,912,429,35
2021,Oldham 015,E02001112,2451,1344,830,247,30,0
2021,Oldham 016,E02001113,2512,624,922,678,267,21
2021,Oldham 017,E02001114,3495,1341,1211,700,234,9
2021,Oldham 018,E02001115,2605,1260,885,342,116,2
2021,Oldham 019,E02001116,2387,795,906,505,171,10
2021,Oldham 020,E02001117,2623,1489,801,276,52,5
2021,Oldham 021,E02001118,2627,1384,858,331,54,0
2021,Oldham 022,E02001119,2870,641,1007,801,391,30
2021,Oldham 024,E02001121,2465,619,872,687,271,16
2021,Oldham 026,E02001123,2788,993,985,571,230,9
2021,Oldham 027,E02001124,2807,944,958,649,236,20
2021,Oldham 028,E02001125,3341,1494,1184,504,153,6
2021,Oldham 029,E02001126,3363,1053,1216,750,323,21
2021,Oldham 030,E02001127,2942,991,1024,678,239,10
2021,Oldham 031,E02001128,3283,1331,1178,610,152,12
2021,Oldham 032,E02001129,3064,1239,1055,578,181,11
2021,Oldham 033,E02001130,2587,1111,866,489,117,4
2021,Oldham 034,E02001131,2305,1047,819,340,99,0
2021,Oldham 036,E02007000,2195,628,780,570,203,14
2021,Oldham 037,E02007001,2220,749,821,486,158,6
2021,Rochdale 001,E02001132,3055,1473,1065,413,99,5
2021,Rochdale 002,E02001133,2736,1497,866,317,55,1
2021,Rochdale 003,E02001134,2652,1465,834,285,68,0
2021,Rochdale 004,E02001135,3198,1042,1089,749,300,18
2021,Rochdale 005,E02001136,3739,1756,1272,543,158,10
2021,Rochdale 006,E02001137,2612,1547,765,245,55,0
2021,Rochdale 007,E02001138,3643,2048,1122,389,80,4
2021,Rochdale 008,E02001139,3247,947,1213,750,315,22
2021,Rochdale 009,E02001140,3048,1205,1069,561,201,12
2021,Rochdale 010,E02001141,4583,1272,1670,1118,472,51
2021,Rochdale 011,E02001142,2429,1289,830,272,36,2
2021,Rochdale 012,E02001143,4047,1429,1398,873,322,25
2021,Rochdale 013,E02001144,2860,1288,976,434,147,15
2021,Rochdale 014,E02001145,3077,1542,1033,408,93,1
2021,Rochdale 015,E02001146,3083,841,1156,802,265,19
2021,Rochdale 016,E02001147,4138,1652,1452,745,267,22
2021,Rochdale 017,E02001148,4385,1803,1619,721,232,10
2021,Rochdale 018,E02001149,4815,1836,1667,943,349,20
2021,Rochdale 019,E02001150,3697,1558,1227,661,236,15
2021,Rochdale 020,E02001151,4188,2087,1375,572,146,8
2021,Rochdale 021,E02001152,4130,1719,1393,777,227,14
2021,Rochdale 022,E02001153,4937,1835,1619,1059,408,16
2021,Rochdale 023,E02001154,4383,1876,1499,767,230,11
2021,Rochdale 024,E02001155,3447,1444,1145,635,214,9
2021,Rochdale 025,E02001156,4099,2032,1374,582,107,4
2021,Salford 001,E02001157,3466,1171,1157,827,301,10
2021,Salford 002,E02001158,2724,943,951,607,210,13
2021,Salford 003,E02001159,3258,1593,1003,477,175,10
2021,Salford 004,E02001160,2864,1109,976,604,168,7
2021,Salford 005,E02001161,2664,1167,930,434,125,8
2021,Salford 006,E02001162,2690,1099,950,485,148,8
2021,Salford 007,E02001163,4424,2301,1389,565,162,7
2021,Salford 008,E02001164,2842,1298,908,483,149,4
2021,Salford 009,E02001165,2662,1245,883,417,116,1
2021,Salford 010,E02001166,2384,989,856,403,126,10
2021,Salford 011,E02001167,2809,1271,946,443,140,9
2021,Salford 012,E02001168,4220,1894,1378,721,213,14
2021,Salford 013,E02001169,4453,2691,1285,403,70,4
2021,Salford 014,E02001170,4145,2560,1192,345,46,2
2021,Salford 015,E02001171,2553,1330,829,333,58,3
2021,Salford 017,E02001173,3571,1224,1233,770,321,23
2021,Salford 018,E02001174,2337,1238,730,286,81,2
2021,Salford 019,E02001175,3077,1408,959,514,182,14
2021,Salford 020,E02001176,5473,2666,1714,828,250,15
2021,Salford 021,E02001177,5817,2604,1921,972,312,8
2021,Salford 023,E02001179,3172,1299,1079,613,176,5
2021,Salford 024,E02001180,2542,791,877,564,299,11
2021,Salford 025,E02001181,2634,993,899,509,221,12
2021,Salford 026,E02001182,3327,1340,1093,641,240,13
2021,Salford 027,E02001183,3187,1465,1020,547,145,10
2021,Salford 029,E02001185,4089,1762,1421,679,214,13
2021,Salford 030,E02001186,4478,2031,1545,708,185,9
2021,Salford 031,E02006957,2672,797,959,598,302,16
2021,Salford 032,E02006958,3076,1284,1040,549,192,11
2021,Salford 033,E02006959,4635,2720,1339,433,136,7
2021,Salford 034,E02006960,3795,2086,1037,486,180,6
2021,Salford 035,E02006961,3151,1464,984,478,214,11
2021,Salford 036,E02006962,2475,1496,634,267,75,3
2021,Salford 037,E02006963,3459,2131,1056,240,31,1
2021,Stockport 001,E02001187,3081,1378,1077,501,121,4
2021,Stockport 002,E02001188,3828,1696,1317,633,174,8
2021,Stockport 003,E02001189,3596,1765,1199,494,129,9
2021,Stockport 004,E02001190,3486,1027,1123,851,460,25
2021,Stockport 005,E02001191,2631,1295,852,379,102,3
2021,Stockport 006,E02001192,2856,1615,865,295,62,19
2021,Stockport 007,E02001193,3015,1370,1007,488,142,8
2021,Stockport 008,E02001194,2655,1572,796,238,42,7
2021,Stockport 009,E02001195,3266,1638,1076,455,92,5
2021,Stockport 010,E02001196,3422,1699,1184,450,85,4
2021,Stockport 011,E02001197,2622,1507,750,291,68,6
2021,Stockport 012,E02001198,3348,1378,1167,624,172,7
2021,Stockport 013,E02001199,3403,2036,990,306,64,7
2021,Stockport 014,E02001200,4080,1424,1431,803,397,25
2021,Stockport 015,E02001201,2460,1320,755,325,57,3
2021,Stockport 016,E02001202,3182,1538,966,496,169,13
2021,Stockport 017,E02001203,2454,1566,723,149,16,0
2021,Stockport 018,E02001204,3784,1940,1228,466,144,6
2021,Stockport 019,E02001205,3971,1789,1280,671,213,18
2021,Stockport 020,E02001206,3101,1683,995,341,81,1
2021,Stockport 021,E02001207,2939,1581,950,340,64,4
2021,Stockport 022,E02001208,3445,1723,1105,478,127,12
2021,Stockport 023,E02001209,3441,1758,1150,417,113,3
2021,Stockport 024,E02001210,3046,1235,1036,593,174,8
2021,Stockport 025,E02001211,2607,1493,805,260,45,4
2021,Stockport 026,E02001212,2683,1042,865,574,192,10
2021,Stockport 027,E02001213,4275,2373,1347,446,104,5
2021,Stockport 028,E02001214,3173,1608,999,467,92,7
2021,Stockport 029,E02001215,2628,1415,857,310,43,3
2021,Stockport 030,E02001216,3326,1941,1033,309,41,2
